,boffin,bella,eugene,venus,fledgeby,mrs boffin,wegg,twemlow,lizzie,john
boffin,0.0,0.045810238447476816,0.04012691022263886,0.00977001388516478,0.04800120968681928,0.005571958762949001,0.0032491203319140287,0.026824881033156608,0.03383755831950716,0.031050329905410106
bella,0.045810238447476816,0.0,0.047704026103485224,0.020276265295292608,0.04538792950843631,0.051804723874336114,0.037470611429096516,0.029414277431551308,0.014461634181112877,0.0012601808047533545
eugene,0.04012691022263886,0.047704026103485224,0.0,0.11823912338506605,0.08867340160684564,0.061459046911273324,0.05636887465694146,0.041889823671228815,0.02097654549452198,0.10825353886874346
venus,0.00977001388516478,0.020276265295292608,0.11823912338506605,0.0,0.06288318938077223,0.12432845997729505,0.05401523752121619,0.05642239916374627,0.05138632147535601,0.11473086134499993
fledgeby,0.04800120968681928,0.04538792950843631,0.08867340160684564,0.06288318938077223,0.0,0.14448309656061128,0.11324737554882906,0.05336414075456491,0.052197322330750445,0.13001521086080164
mrs boffin,0.005571958762949001,0.051804723874336114,0.061459046911273324,0.12432845997729505,0.14448309656061128,0.0,0.03469223040998421,0.061154429357623885,0.042785276048058304,0.18833105468685712
wegg,0.0032491203319140287,0.037470611429096516,0.05636887465694146,0.05401523752121619,0.11324737554882906,0.03469223040998421,0.0,0.06179521210569436,0.05623081678103957,0.20044122782940688
twemlow,0.026824881033156608,0.029414277431551308,0.041889823671228815,0.05642239916374627,0.05336414075456491,0.061154429357623885,0.06179521210569436,0.0,0.07325796879606748,0.28195581857757573
lizzie,0.03383755831950716,0.014461634181112877,0.02097654549452198,0.05138632147535601,0.052197322330750445,0.042785276048058304,0.05623081678103957,0.07325796879606748,0.0,0.2310651238668348
john,0.031050329905410106,0.0012601808047533545,0.10825353886874346,0.11473086134499993,0.13001521086080164,0.18833105468685712,0.20044122782940688,0.28195581857757573,0.2310651238668348,0.0
