,napoleon,davis,courier,piazza,goblin,peter,cicerone,campagna,low,signore
napoleon,0.0,0.35186893285343307,0.09458185875353965,0.2726654132044224,0.14048711219496682,0.3918643439980326,0.07543741906036151,0.3639555676821588,0.002403164673784945,0.18020760344805659
davis,0.35186893285343307,0.0,0.4802979960550156,0.1776139099847122,0.5891920763547726,0.11636664911901493,0.22928010780107855,0.07988260080397787,0.4227356056803092,0.1755044839513723
courier,0.09458185875353965,0.4802979960550156,0.0,0.4090817833492802,0.08753516196834794,0.48215514609963267,0.14519004014005285,0.43241259510276925,0.07342214881329394,0.23511716542186362
piazza,0.2726654132044224,0.1776139099847122,0.4090817833492802,0.0,0.4684240373134807,0.09827929473572328,0.07158887086934439,0.0741716534899064,0.19475129919434492,0.026752645433212367
goblin,0.14048711219496682,0.5891920763547726,0.08753516196834794,0.4684240373134807,0.0,0.6522922393392465,0.3230880489889971,0.6351880938133624,0.16295641198728572,0.43975244299125127
peter,0.3918643439980326,0.11636664911901493,0.48215514609963267,0.09827929473572328,0.6522922393392465,0.0,0.3166916908177399,0.0354739294066321,0.4743503913767856,0.21812706441314805
cicerone,0.07543741906036151,0.22928010780107855,0.14519004014005285,0.07158887086934439,0.3230880489889971,0.3166916908177399,0.0,0.2948342638250345,0.1255175538043796,0.07892153645210188
campagna,0.3639555676821588,0.07988260080397787,0.43241259510276925,0.0741716534899064,0.6351880938133624,0.0354739294066321,0.2948342638250345,0.0,0.47078595551401653,0.1999415611612723
low,0.002403164673784945,0.4227356056803092,0.07342214881329394,0.19475129919434492,0.16295641198728572,0.4743503913767856,0.1255175538043796,0.47078595551401653,0.0,0.2610662857798087
signore,0.18020760344805659,0.1755044839513723,0.23511716542186362,0.026752645433212367,0.43975244299125127,0.21812706441314805,0.07892153645210188,0.1999415611612723,0.2610662857798087,0.0
