,napoleon,davis,courier,piazza,goblin,peter,cicerone,campagna,low,signore
napoleon,0.0,0.3417976709231466,0.10185968031631727,0.26482307785040077,0.15223830408050285,0.3767593414149552,0.07532150781392512,0.35010830772751356,0.002482478276327152,0.17525923158433301
davis,0.3417976709231466,0.0,0.4787981239875666,0.16768579436318115,0.5920206927242166,0.1083196878876181,0.22030412117041642,0.07438341279638182,0.41248171366302394,0.16695635299946143
courier,0.10185968031631727,0.4787981239875666,0.0,0.4096488806153575,0.09813617617629392,0.4696985171764699,0.14743890306392934,0.41896635948074673,0.07547184431521228,0.2308244750922716
piazza,0.26482307785040077,0.16768579436318115,0.4096488806153575,0.0,0.47591449106793876,0.09124720606541417,0.0698628955234798,0.06851255106107053,0.19390364627451007,0.025969953004669005
goblin,0.15223830408050285,0.5920206927242166,0.09813617617629392,0.47591449106793876,0.0,0.6499916019210453,0.3363112693911247,0.6340804526897377,0.17574170174316894,0.447678947654895
peter,0.3767593414149552,0.1083196878876181,0.4696985171764699,0.09124720606541417,0.6499916019210453,0.0,0.30175063218397885,0.032971561520585134,0.460018283576872,0.20651353363681393
cicerone,0.07532150781392512,0.22030412117041642,0.14743890306392934,0.0698628955234798,0.3363112693911247,0.30175063218397885,0.0,0.2812000503576096,0.1266831970292928,0.07499531780159559
campagna,0.35010830772751356,0.07438341279638182,0.41896635948074673,0.06851255106107053,0.6340804526897377,0.032971561520585134,0.2812000503576096,0.0,0.4569154942736765,0.1896920698072094
low,0.002482478276327152,0.41248171366302394,0.07547184431521228,0.19390364627451007,0.17574170174316894,0.460018283576872,0.1266831970292928,0.4569154942736765,0.0,0.2564909818235751
signore,0.17525923158433301,0.16695635299946143,0.2308244750922716,0.025969953004669005,0.447678947654895,0.20651353363681393,0.07499531780159559,0.1896920698072094,0.2564909818235751,0.0
