,napoleon,davis,courier,piazza,goblin,peter,cicerone,campagna,low,signore
napoleon,0.0,0.3588733312971476,0.08722191237227633,0.27819949851542175,0.12846937414074824,0.40383195319661475,0.0748328615546043,0.3748441817962026,0.002303122002688014,0.18360575725362818
davis,0.3588733312971476,0.0,0.4785672527096995,0.18632401000740736,0.5821811890897792,0.12376897033051264,0.23630757302685249,0.08493441455241328,0.429241205793348,0.18272502936943388
courier,0.08722191237227633,0.4785672527096995,0.0,0.4057929768283962,0.07749968589376796,0.490909276401514,0.1417831305506661,0.4423243943549359,0.0707567453285525,0.23740082109775731
piazza,0.27819949851542175,0.18632401000740736,0.4057929768283962,0.0,0.45778551593397987,0.10481920450996506,0.07264113389969838,0.07950740395146493,0.1937414590471925,0.027298117277607534
goblin,0.12846937414074824,0.5821811890897792,0.07749968589376796,0.45778551593397987,0.0,0.6500873429552663,0.3078889729297635,0.6318473635296484,0.14971773598563237,0.42888855794755726
peter,0.40383195319661475,0.12376897033051264,0.490909276401514,0.10481920450996506,0.6500873429552663,0.0,0.32919855713789775,0.037788707429964395,0.4847100651033052,0.22820093468202818
cicerone,0.0748328615546043,0.23630757302685249,0.1417831305506661,0.07264113389969838,0.3078889729297635,0.32919855713789775,0.0,0.30615961098926564,0.12314236003268667,0.08226171329949197
campagna,0.3748441817962026,0.08493441455241328,0.4423243943549359,0.07950740395146493,0.6318473635296484,0.037788707429964395,0.30615961098926564,0.0,0.4806768929437553,0.20873378669201334
low,0.002303122002688014,0.429241205793348,0.0707567453285525,0.1937414590471925,0.14971773598563237,0.4847100651033052,0.12314236003268667,0.4806768929437553,0.0,0.2633292167095427
signore,0.18360575725362818,0.18272502936943388,0.23740082109775731,0.027298117277607534,0.42888855794755726,0.22820093468202818,0.08226171329949197,0.20873378669201334,0.2633292167095427,0.0
