,meg,trotty,toby,alderman,richard,joseph,tugby,fish,lilian,toby veck
meg,0.0,0.03686532492419211,0.19772323067629147,0.04974966736515949,0.008052665157850107,0.08633876742572019,0.06498997663464301,0.052728234159604766,0.00932089066272133,0.02031821748450949
trotty,0.03686532492419211,0.0,0.20562016271435773,0.03478031869739122,0.02669160492791919,0.05567835626501162,0.10360091009015701,0.029847288669134067,0.02458106549135406,0.023150230743469752
toby,0.19772323067629147,0.20562016271435773,0.0,0.052505847097635,0.2275319631322805,0.05071579399966394,0.4282222668245738,0.060721388067324314,0.3325255252402829,0.001840919553982347
alderman,0.04974966736515949,0.03478031869739122,0.052505847097635,0.0,0.23127300748537435,0.0588925463385399,0.38818518596698154,0.029890559259161203,0.28418626459567914,0.12715348157118403
richard,0.008052665157850107,0.02669160492791919,0.2275319631322805,0.23127300748537435,0.0,0.26689586947679345,0.0929892216756135,0.0902271822310717,0.03029553125745189,0.1764468687983543
joseph,0.08633876742572019,0.05567835626501162,0.05071579399966394,0.0588925463385399,0.26689586947679345,0.0,0.4064256490275926,0.025197642457161936,0.316017723722838,0.20553363834569802
tugby,0.06498997663464301,0.10360091009015701,0.4282222668245738,0.38818518596698154,0.0929892216756135,0.4064256490275926,0.0,0.30060535686001805,0.06246171997608571,0.6244529159502695
fish,0.052728234159604766,0.029847288669134067,0.060721388067324314,0.029890559259161203,0.0902271822310717,0.025197642457161936,0.30060535686001805,0.0,0.26961553041973685,0.2583537368546294
lilian,0.00932089066272133,0.02458106549135406,0.3325255252402829,0.28418626459567914,0.03029553125745189,0.316017723722838,0.06246171997608571,0.26961553041973685,0.0,0.552321657465007
toby veck,0.02031821748450949,0.023150230743469752,0.001840919553982347,0.12715348157118403,0.1764468687983543,0.20553363834569802,0.6244529159502695,0.2583537368546294,0.552321657465007,0.0
