,meg,trotty,toby,alderman,richard,joseph,tugby,fish,lilian,toby veck
meg,0.0,0.03788169581019773,0.19334436406105784,0.048267038053446995,0.00839516572361754,0.08684643867187292,0.07023816331416236,0.05352720007199787,0.01009390846063208,0.017627934773567295
trotty,0.03788169581019773,0.0,0.20060400970934192,0.03439401354309198,0.02806733343464715,0.056043269793297656,0.1112251680550986,0.030619437436568118,0.026583939585602998,0.02020482081927394
toby,0.19334436406105784,0.20060400970934192,0.0,0.0528612916370161,0.2362997376195986,0.051215880943476164,0.44845790260366614,0.06259242013830518,0.34858274251565086,0.0015702421386512842
alderman,0.048267038053446995,0.03439401354309198,0.0528612916370161,0.0,0.23795348411561185,0.057860136894614715,0.40483968537417003,0.03022060045951365,0.2968889003473951,0.11761965857630456
richard,0.00839516572361754,0.02806733343464715,0.2362997376195986,0.23795348411561185,0.0,0.2734906752157504,0.09931049511515094,0.09016276648714293,0.03232008603910616,0.16797753965160708
joseph,0.08684643867187292,0.056043269793297656,0.051215880943476164,0.057860136894614715,0.2734906752157504,0.0,0.42535443399900946,0.02585227639252247,0.33068260879948086,0.1936152713709789
tugby,0.07023816331416236,0.1112251680550986,0.44845790260366614,0.40483968537417003,0.09931049511515094,0.42535443399900946,0.0,0.31569744376312203,0.06683002053446141,0.6300416383487011
fish,0.05352720007199787,0.030619437436568118,0.06259242013830518,0.03022060045951365,0.09016276648714293,0.02585227639252247,0.31569744376312203,0.0,0.28313191070038013,0.24740986726042058
lilian,0.01009390846063208,0.026583939585602998,0.34858274251565086,0.2968889003473951,0.03232008603910616,0.33068260879948086,0.06683002053446141,0.28313191070038013,0.0,0.5523269053856834
toby veck,0.017627934773567295,0.02020482081927394,0.0015702421386512842,0.11761965857630456,0.16797753965160708,0.1936152713709789,0.6300416383487011,0.24740986726042058,0.5523269053856834,0.0
