,john,caleb,tackleton,bertha,peerybingle,tilly,john peerybingle,boxer,slowboy,edward
john,0.0,0.07964652938442227,0.1093852365900586,0.057667300020084356,0.02790956916113311,0.015219868935968562,0.010638487929859922,0.006800758691350309,0.005204380287034723,0.00981269815045876
caleb,0.07964652938442227,0.0,0.05712059943719194,0.009790185103566036,0.10778724529774725,0.021557211886699245,0.01716704756165796,0.021737407035769575,0.015187402046043526,0.01981834882632501
tackleton,0.1093852365900586,0.05712059943719194,0.0,0.03188834421071231,0.11477277412894077,0.019838295090245685,0.004865300174885433,0.0242478456680161,0.020252052082028123,0.024213620835523496
bertha,0.057667300020084356,0.009790185103566036,0.03188834421071231,0.0,0.26416854234441817,0.059803541791285116,0.027715156371303534,0.06555520974586927,0.06130853062774074,0.030600738797615122
peerybingle,0.02790956916113311,0.10778724529774725,0.11477277412894077,0.26416854234441817,0.0,0.1706491318861845,0.27112921511129884,0.06454045720242595,0.04504353395091402,0.3775512278707996
tilly,0.015219868935968562,0.021557211886699245,0.019838295090245685,0.059803541791285116,0.1706491318861845,0.0,0.11512767825965689,0.055888318294089606,0.03965427774794211,0.19660966490606963
john peerybingle,0.010638487929859922,0.01716704756165796,0.004865300174885433,0.027715156371303534,0.27112921511129884,0.11512767825965689,0.0,0.19790562366277872,0.10271635403241047,0.09374829227325839
boxer,0.006800758691350309,0.021737407035769575,0.0242478456680161,0.06555520974586927,0.06454045720242595,0.055888318294089606,0.19790562366277872,0.0,0.05373666415415603,0.39716774763970475
slowboy,0.005204380287034723,0.015187402046043526,0.020252052082028123,0.06130853062774074,0.04504353395091402,0.03965427774794211,0.10271635403241047,0.05373666415415603,0.0,0.3055206928182395
edward,0.00981269815045876,0.01981834882632501,0.024213620835523496,0.030600738797615122,0.3775512278707996,0.19660966490606963,0.09374829227325839,0.39716774763970475,0.3055206928182395,0.0
