,john,caleb,tackleton,bertha,peerybingle,tilly,john peerybingle,boxer,slowboy,edward
john,0.0,0.07904982525955655,0.11169252689567744,0.06355661591784205,0.020313809180915125,0.01715570220638736,0.01195214361738745,0.006976130538135288,0.0054952719702527405,0.011807261005691995
caleb,0.07904982525955655,0.0,0.06097104313565291,0.011010095551813691,0.08791281390291998,0.021666979600692762,0.019491895840817067,0.021390882585960558,0.014400856053131988,0.02375027519116509
tackleton,0.11169252689567744,0.06097104313565291,0.0,0.035861395995042726,0.09418684739099634,0.018966618553019038,0.005392712888527312,0.023028199947227542,0.019117543895794807,0.02916141499704336
bertha,0.06355661591784205,0.011010095551813691,0.035861395995042726,0.0,0.24183875822486667,0.0593836388408355,0.030542930600143216,0.06391308661477092,0.06017366654965854,0.036534401054871275
peerybingle,0.020313809180915125,0.08791281390291998,0.09418684739099634,0.24183875822486667,0.0,0.16967400975485628,0.2757211193547245,0.06421824474108935,0.04699382398838989,0.4203179567424616
tilly,0.01715570220638736,0.021666979600692762,0.018966618553019038,0.0593836388408355,0.16967400975485628,0.0,0.1215301196042465,0.0593665669535899,0.04191063817794466,0.22848747031643485
john peerybingle,0.01195214361738745,0.019491895840817067,0.005392712888527312,0.030542930600143216,0.2757211193547245,0.1215301196042465,0.0,0.2070053420052485,0.10305801561905548,0.10901634415487896
boxer,0.006976130538135288,0.021390882585960558,0.023028199947227542,0.06391308661477092,0.06421824474108935,0.0593665669535899,0.2070053420052485,0.0,0.05615564035934065,0.44763387651133213
slowboy,0.0054952719702527405,0.014400856053131988,0.019117543895794807,0.06017366654965854,0.04699382398838989,0.04191063817794466,0.10305801561905548,0.05615564035934065,0.0,0.33833073161845234
edward,0.011807261005691995,0.02375027519116509,0.02916141499704336,0.036534401054871275,0.4203179567424616,0.22848747031643485,0.10901634415487896,0.44763387651133213,0.33833073161845234,0.0
