,alicia,grandmarina,pickles,prince certainpersonio,chamberlain,king,mr pickles,certainpersonio,king watkins,peggy
alicia,0.0,0.049283421657215803,0.017773204911798533,0.013393001976653445,0.011846703472230718,0.011559172163750379,0.027577926782365904,0.005067195417492898,0.0004406256884776915,0.008371888081075139
grandmarina,0.049283421657215803,0.0,0.023035727851679923,0.012023882555736443,0.20923262212617838,0.005328780873829814,0.4110831159892891,0.00440625688477636,0.10663141661158847,0.04472350738048028
pickles,0.017773204911798533,0.023035727851679923,0.0,0.06300759764648528,0.3317404326297715,0.036993749066907014,0.26304531493476196,0.006829698171403443,0.11015642211940957,0.2011456267900418
prince certainpersonio,0.013393001976653445,0.012023882555736443,0.06300759764648528,0.0,0.6341702877456322,0.09295896672724462,0.8683630441259814,0.015862524785195006,0.23661599471249173,0.6369244326944261
chamberlain,0.011846703472230718,0.20923262212617838,0.3317404326297715,0.6341702877456322,0.0,0.5411975545661294,0.23419125807036828,0.6023353161489315,0.38158184622163477,0.00198281559814939
king,0.011559172163750379,0.005328780873829814,0.036993749066907014,0.09295896672724462,0.5411975545661294,0.0,0.7753889856542975,0.05970478078871999,0.1414408460013219,0.5417492839832563
mr pickles,0.027577926782365904,0.4110831159892891,0.26304531493476196,0.8683630441259814,0.23419125807036828,0.7753889856542975,0.0,0.8376294337959904,0.6168759638686937,0.21656752588675918
certainpersonio,0.005067195417492898,0.00440625688477636,0.006829698171403443,0.015862524785195006,0.6023353161489315,0.05970478078871999,0.8376294337959904,0.0,0.2207534699272967,0.621061907909231
king watkins,0.0004406256884776915,0.10663141661158847,0.11015642211940957,0.23661599471249173,0.38158184622163477,0.1414408460013219,0.6168759638686937,0.2207534699272967,0.0,0.40030843798193444
peggy,0.008371888081075139,0.04472350738048028,0.2011456267900418,0.6369244326944261,0.00198281559814939,0.5417492839832563,0.21656752588675918,0.621061907909231,0.40030843798193444,0.0
