,alicia,grandmarina,pickles,prince certainpersonio,chamberlain,king,mr pickles,certainpersonio,king watkins,peggy
alicia,0.0,0.05291996992359094,0.01819628491757606,0.014625186085287708,0.01146026681627984,0.012472853730839027,0.022304886316228293,0.005508488832736803,0.00046532114748187864,0.008051069456433526
grandmarina,0.05291996992359094,0.0,0.02270491417169264,0.013128165116710807,0.21149518474898418,0.005745446447060121,0.39242204644515416,0.004787431045413903,0.11347346887280439,0.04269485316760365
pickles,0.01819628491757606,0.02270491417169264,0.0,0.06845383506886646,0.3259770265115872,0.03978730530151216,0.25233807963030214,0.007425220166119572,0.11725277336514517,0.1835522836221789
prince certainpersonio,0.014625186085287708,0.013128165116710807,0.06845383506886646,0.0,0.6588993440396099,0.10075407160146733,0.8709824066737673,0.017254392462938032,0.25392163635679216,0.6606227446864608
chamberlain,0.01146026681627984,0.21149518474898418,0.3259770265115872,0.6588993440396099,0.0,0.5581295792414072,0.2120786525217065,0.6252682013324349,0.38860095743858086,0.0019105905134997603
king,0.012472853730839027,0.005745446447060121,0.03978730530151216,0.10075407160146733,0.5581295792414072,0.0,0.7702097754576082,0.06466268308968737,0.1508686020780704,0.557569710407739
mr pickles,0.022304886316228293,0.39242204644515416,0.25233807963030214,0.8709824066737673,0.2120786525217065,0.7702097754576082,0.0,0.8396370644619298,0.6029698205680756,0.1962687122384072
certainpersonio,0.005508488832736803,0.004787431045413903,0.007425220166119572,0.017254392462938032,0.6252682013324349,0.06466268308968737,0.8396370644619298,0.0,0.23666724389385418,0.6433683522235227
king watkins,0.00046532114748187864,0.11347346887280439,0.11725277336514517,0.25392163635679216,0.38860095743858086,0.1508686020780704,0.6029698205680756,0.23666724389385418,0.0,0.4067011083296685
peggy,0.008051069456433526,0.04269485316760365,0.1835522836221789,0.6606227446864608,0.0019105905134997603,0.557569710407739,0.1962687122384072,0.6433683522235227,0.4067011083296685,0.0
