,jasper,grewgious,crisparkle,rosa,neville,sapsea,durdles,helena,edwin,twinkleton
jasper,0.0,0.22438362656663208,0.125580577712255,0.12754043611003435,0.030515771182046313,0.019764900728252766,0.007586570888376447,0.04768031408728645,0.017141233256406457,0.04145834717649539
grewgious,0.22438362656663208,0.0,0.06859178582714784,0.05685281948360672,0.0420792926583396,0.08206545804268932,0.0931210835697468,0.02252496418271158,0.02814619214181572,0.045715857534136844
crisparkle,0.125580577712255,0.06859178582714784,0.0,0.06897118007881119,0.009580247895331795,0.05330278703784045,0.06298145367381043,0.005613320185102705,0.03121626097832375,0.026140730388957176
rosa,0.12754043611003435,0.05685281948360672,0.06897118007881119,0.0,0.10686044332009435,0.0488734764034665,0.04641286426578723,0.01283355372278964,0.03391193562316012,0.00595935034521672
neville,0.030515771182046313,0.0420792926583396,0.009580247895331795,0.10686044332009435,0.0,0.06755154891763357,0.07904018350419051,0.025478952005759545,0.04537160040710516,0.07180020704053834
sapsea,0.019764900728252766,0.08206545804268932,0.05330278703784045,0.0488734764034665,0.06755154891763357,0.0,0.02344025080840852,0.0913092614840602,0.07535084797106946,0.08274558336723006
durdles,0.007586570888376447,0.0931210835697468,0.06298145367381043,0.04641286426578723,0.07904018350419051,0.02344025080840852,0.0,0.14915012694085322,0.0688876894409611,0.13621658843913156
helena,0.04768031408728645,0.02252496418271158,0.005613320185102705,0.01283355372278964,0.025478952005759545,0.0913092614840602,0.14915012694085322,0.0,0.1743843733968025,0.05318767497138598
edwin,0.017141233256406457,0.02814619214181572,0.03121626097832375,0.03391193562316012,0.04537160040710516,0.07535084797106946,0.0688876894409611,0.1743843733968025,0.0,0.140413321501383
twinkleton,0.04145834717649539,0.045715857534136844,0.026140730388957176,0.00595935034521672,0.07180020704053834,0.08274558336723006,0.13621658843913156,0.05318767497138598,0.140413321501383,0.0
