,jasper,grewgious,crisparkle,rosa,neville,sapsea,durdles,helena,edwin,twinkleton
jasper,0.0,0.22073172578408404,0.12356064586012613,0.12328473366544887,0.029688890980019558,0.019935153083530503,0.0076272848731962105,0.04497595197254143,0.01710652580451685,0.03994125370700473
grewgious,0.22073172578408404,0.0,0.06669731987208138,0.05643483215035016,0.04140836599546235,0.08279602527593495,0.09409642591266403,0.022104341713479036,0.02871569519972607,0.04593165392756188
crisparkle,0.12356064586012613,0.06669731987208138,0.0,0.06715467499566716,0.009487485669051146,0.05431129287767004,0.06339089500899693,0.005340865745795521,0.031836481792512514,0.02621210327967842
rosa,0.12328473366544887,0.05643483215035016,0.06715467499566716,0.0,0.10298182111863044,0.04898879053299989,0.047583635718781624,0.012730283748292926,0.0334380506156544,0.005962984941252928
neville,0.029688890980019558,0.04140836599546235,0.009487485669051146,0.10298182111863044,0.0,0.06833377350453688,0.0794765974164741,0.02391367430276208,0.04569110571503741,0.07026659809146504
sapsea,0.019935153083530503,0.08279602527593495,0.05431129287767004,0.04898879053299989,0.06833377350453688,0.0,0.023606004843187908,0.08784813231941636,0.07497631136681047,0.0807280395045118
durdles,0.0076272848731962105,0.09409642591266403,0.06339089500899693,0.047583635718781624,0.0794765974164741,0.023606004843187908,0.0,0.14430990784980474,0.0690777022967276,0.13309617416071207
helena,0.04497595197254143,0.022104341713479036,0.005340865745795521,0.012730283748292926,0.02391367430276208,0.08784813231941636,0.14430990784980474,0.0,0.16955345196928587,0.05298178897143537
edwin,0.01710652580451685,0.02871569519972607,0.031836481792512514,0.0334380506156544,0.04569110571503741,0.07497631136681047,0.0690777022967276,0.16955345196928587,0.0,0.1354594657037147
twinkleton,0.03994125370700473,0.04593165392756188,0.02621210327967842,0.005962984941252928,0.07026659809146504,0.0807280395045118,0.13309617416071207,0.05298178897143537,0.1354594657037147,0.0
