,pickwick,sam,weller,winkle,tupman,wardle,snodgrass,bob sawyer,sammy,perker
pickwick,0.0,0.00923369412426744,0.005791254242143189,0.0047223701090603745,0.0018884682867372296,0.0012191786684448117,0.0017406212423241654,0.0018405154035597846,0.004950405515149371,0.00028771189753394805
sam,0.00923369412426744,0.0,0.010725338673349448,0.04710601680743925,0.12347558561094168,0.03212829397359581,0.08415394962684793,0.009729522044312685,0.000747945357811562,0.007241534480540265
weller,0.005791254242143189,0.010725338673349448,0.0,0.07843926947638177,0.15286029389876304,0.05684381446399027,0.11623959293459579,0.018101608188268316,0.00014704347657155088,0.012654033954473069
winkle,0.0047223701090603745,0.04710601680743925,0.07843926947638177,0.0,0.02832489183256541,0.026223496337656103,0.0035142923350180546,0.020840765477914747,0.029490637463205124,0.02716188971850826
tupman,0.0018884682867372296,0.12347558561094168,0.15286029389876304,0.02832489183256541,0.0,0.16811178473014504,0.025516258988333103,0.4160324942888134,0.3338590513520613,0.3492955938017831
wardle,0.0012191786684448117,0.03212829397359581,0.05684381446399027,0.026223496337656103,0.16811178473014504,0.0,0.07159329709031052,0.2074392795425802,0.11716965296053657,0.10643283483039413
snodgrass,0.0017406212423241654,0.08415394962684793,0.11623959293459579,0.0035142923350180546,0.025516258988333103,0.07159329709031052,0.0,0.41649965113365645,0.3117499953431733,0.33262163347270907
bob sawyer,0.0018405154035597846,0.009729522044312685,0.018101608188268316,0.020840765477914747,0.4160324942888134,0.2074392795425802,0.41649965113365645,0.0,0.06710870827946808,0.0458825064065314
sammy,0.004950405515149371,0.000747945357811562,0.00014704347657155088,0.029490637463205124,0.3338590513520613,0.11716965296053657,0.3117499953431733,0.06710870827946808,0.0,0.05897053028131933
perker,0.00028771189753394805,0.007241534480540265,0.012654033954473069,0.02716188971850826,0.3492955938017831,0.10643283483039413,0.33262163347270907,0.0458825064065314,0.05897053028131933,0.0
