,jack,barlow,titbull,testator,flipfield,pangloss,grazinglands,battens,klem,mitts
jack,0.0,0.7939070528501073,0.6264715944541973,0.2757452048717156,0.39797997014449066,0.08473651834103696,0.021845165253181018,0.5832908167364519,0.3116686674847272,0.5744984968344427
barlow,0.7939070528501073,0.0,0.12102998778310053,0.5393958295848854,0.3694968150666094,0.7338002195201677,0.7962515915850548,0.1213447892535284,0.4871988536458887,0.11114997259002594
titbull,0.6264715944541973,0.12102998778310053,0.0,0.41577450367725,0.2454244296980356,0.6093890388899363,0.6718261483994568,0.003277970238991346,0.36130019600638025,0.0019895862915955804
testator,0.2757452048717156,0.5393958295848854,0.41577450367725,0.0,0.16943503885025765,0.1942403417165251,0.25670638687141945,0.41654125356315824,0.04968264587625402,0.4257802630811738
flipfield,0.39797997014449066,0.3694968150666094,0.2454244296980356,0.16943503885025765,0.0,0.36419251007133124,0.4266528871665266,0.24742227706768236,0.11746662299823135,0.2569816010355758
pangloss,0.08473651834103696,0.7338002195201677,0.6093890388899363,0.1942403417165251,0.36419251007133124,0.0,0.06234898817567129,0.6116310145284735,0.24429211939757342,0.6203298107801095
grazinglands,0.021845165253181018,0.7962515915850548,0.6718261483994568,0.25670638687141945,0.4266528871665266,0.06234898817567129,0.0,0.6745094397630231,0.30798178148108624,0.6840141921770619
battens,0.5832908167364519,0.1213447892535284,0.003277970238991346,0.41654125356315824,0.24742227706768236,0.6116310145284735,0.6745094397630231,0.0,0.36409761473909963,0.0071460107436730775
klem,0.3116686674847272,0.4871988536458887,0.36130019600638025,0.04968264587625402,0.11746662299823135,0.24429211939757342,0.30798178148108624,0.36409761473909963,0.0,0.37600336614032637
mitts,0.5744984968344427,0.11114997259002594,0.0019895862915955804,0.4257802630811738,0.2569816010355758,0.6203298107801095,0.6840141921770619,0.0071460107436730775,0.37600336614032637,0.0
