,jack,barlow,titbull,testator,flipfield,pangloss,grazinglands,battens,klem,mitts
jack,0.0,0.7707120172950432,0.61394119645972,0.2840040026931215,0.39941880903279414,0.09124648179056025,0.023996128182211092,0.5706472919760966,0.3159431711897526,0.5610222518048426
barlow,0.7707120172950432,0.0,0.11027401086390276,0.5064500457381043,0.34217043769803734,0.7036764431054222,0.7704363229634339,0.11057753622979567,0.45541034826176574,0.10123086619193253
titbull,0.61394119645972,0.11027401086390276,0.0,0.3937893914395354,0.2290935103148039,0.5902879904987166,0.6570339982393731,0.0030085402746423255,0.3406486125915638,0.0018238557903321442
testator,0.2840040026931215,0.5064500457381043,0.3937893914395354,0.0,0.16383468433781817,0.19703792374716778,0.2638144465481072,0.394428260026932,0.04862966878948279,0.4028588395954536
flipfield,0.39941880903279414,0.34217043769803734,0.2290935103148039,0.16383468433781817,0.0,0.36139179914858144,0.4281616268021459,0.23091657465993312,0.11298463224844153,0.2396734518222365
pangloss,0.09124648179056025,0.7036764431054222,0.5902879904987166,0.19703792374716778,0.36139179914858144,0.0,0.0666547825639241,0.5922637079235789,0.2459125100368847,0.6000842471658785
grazinglands,0.023996128182211092,0.7704363229634339,0.6570339982393731,0.2638144465481072,0.4281616268021459,0.0666547825639241,0.0,0.6594679780746151,0.3139558093882336,0.6681213318208253
battens,0.5706472919760966,0.11057753622979567,0.0030085402746423255,0.394428260026932,0.23091657465993312,0.5922637079235789,0.6594679780746151,0.0,0.34321776841325197,0.006554493134238882
klem,0.3159431711897526,0.45541034826176574,0.3406486125915638,0.04862966878948279,0.11298463224844153,0.2459125100368847,0.3139558093882336,0.34321776841325197,0.0,0.3541377494022079
mitts,0.5610222518048426,0.10123086619193253,0.0018238557903321442,0.4028588395954536,0.2396734518222365,0.6000842471658785,0.6681213318208253,0.006554493134238882,0.3541377494022079,0.0
