,james,signor dellombra,john,baptista,wilhelm,clara,heinrich,carolina,dellombra,ananias dodger
james,0.0,0.1996546894529997,0.0035483805689809516,0.29299224622362235,0.007827649692353793,0.16969556512557712,0.684904957811464,0.23114129513362788,0.17703392174395619,0.2553640926568639
signor dellombra,0.1996546894529997,0.0,0.19514305731557627,0.12859427073209231,0.19630460203479524,0.034906381138333956,0.4460653692233026,0.10922457846983433,0.008851634652618382,0.35323090576557126
john,0.0035483805689809516,0.19514305731557627,0.0,0.356311491559248,0.016259857596564394,0.1874544399768743,0.7012540947372196,0.2410157957353667,0.1860396729701667,0.3185188670287869
baptista,0.29299224622362235,0.12859427073209231,0.356311491559248,0.0,0.23261103267417302,0.022598201609907047,0.18285332524595907,0.036109355442856664,0.027772427850397328,0.19430208216081832
wilhelm,0.007827649692353793,0.19630460203479524,0.016259857596564394,0.23261103267417302,0.0,0.2561267779703468,0.7672657953958276,0.2932263144604027,0.2332693874510626,0.3215876458430645
clara,0.16969556512557712,0.034906381138333956,0.1874544399768743,0.022598201609907047,0.2561267779703468,0.0,0.5039850222786846,0.07389700711154665,0.017061364579899634,0.3755719981903517
heinrich,0.684904957811464,0.4460653692233026,0.7012540947372196,0.18285332524595907,0.7672657953958276,0.5039850222786846,0.0,0.39690170254447643,0.49830390460193297,0.3345788190923961
carolina,0.23114129513362788,0.10922457846983433,0.2410157957353667,0.036109355442856664,0.2932263144604027,0.07389700711154665,0.39690170254447643,0.0,0.10438382467972666,0.29027863049279284
dellombra,0.17703392174395619,0.008851634652618382,0.1860396729701667,0.027772427850397328,0.2332693874510626,0.017061364579899634,0.49830390460193297,0.10438382467972666,0.0,0.40726266729369
ananias dodger,0.2553640926568639,0.35323090576557126,0.3185188670287869,0.19430208216081832,0.3215876458430645,0.3755719981903517,0.3345788190923961,0.29027863049279284,0.40726266729369,0.0
