,james,signor dellombra,john,baptista,wilhelm,clara,heinrich,carolina,dellombra,ananias dodger
james,0.0,0.18600328073232764,0.003245036310381687,0.2793661941156266,0.007146428618311456,0.15845757296247023,0.6762107971395452,0.21866018304406099,0.16526997218599898,0.2511023158072955
signor dellombra,0.18600328073232764,0.0,0.18088857377277212,0.12546087554688973,0.18124738539876956,0.03303353098582965,0.45251832715974377,0.10490530684943919,0.008342453210187855,0.34619394297789635
john,0.003245036310381687,0.18088857377277212,0.0,0.33806110073658197,0.014832728481784754,0.17481902049286788,0.691247030159602,0.2277935129737978,0.1735643875843224,0.3104962139802189
baptista,0.2793661941156266,0.12546087554688973,0.33806110073658197,0.0,0.21557260476447113,0.02129936958098353,0.1919676088368696,0.03611824056094186,0.02632864103230098,0.19263413224249573
wilhelm,0.007146428618311456,0.18124738539876956,0.014832728481784754,0.21557260476447113,0.0,0.23771420731206894,0.7516298965285382,0.2759398357561181,0.2169254303614755,0.3128877621347575
clara,0.15845757296247023,0.03303353098582965,0.17481902049286788,0.02129936958098353,0.23771420731206894,0.0,0.507185565825705,0.07148836587163582,0.016323657354511956,0.36823229005918867
heinrich,0.6762107971395452,0.45251832715974377,0.691247030159602,0.1919676088368696,0.7516298965285382,0.507185565825705,0.0,0.4032819019282958,0.5017829444013532,0.3353019872705356
carolina,0.21866018304406099,0.10490530684943919,0.2277935129737978,0.03611824056094186,0.2759398357561181,0.07148836587163582,0.4032819019282958,0.0,0.10052653005788745,0.28698829551095345
dellombra,0.16526997218599898,0.008342453210187855,0.1735643875843224,0.02632864103230098,0.2169254303614755,0.016323657354511956,0.5017829444013532,0.10052653005788745,0.0,0.3980980114943221
ananias dodger,0.2511023158072955,0.34619394297789635,0.3104962139802189,0.19263413224249573,0.3128877621347575,0.36823229005918867,0.3353019872705356,0.28698829551095345,0.3980980114943221,0.0
