,clotilde,pascal,martine,felicite,ramond,maxime,charles,rougon,macquart,uncle macquart
clotilde,0.0,0.01706807471423356,0.0021563789286097993,0.0028892569698142976,0.0039671534822692716,0.004730196893962627,0.006051253203904114,0.0005336963910405049,0.005945702873281147,0.010030520022684777
pascal,0.01706807471423356,0.0,0.005221558894731897,0.00476101981547874,0.00209899496906178,0.003240293502685656,0.00488001610401316,0.0008772974176946114,0.004240589540012995,0.004684237867800783
martine,0.0021563789286097993,0.005221558894731897,0.0,0.011030313204402212,0.01992424449692487,0.022790033133049555,0.029900416947750846,0.00293930005260125,0.023578868966226765,0.02826413210799573
felicite,0.0028892569698142976,0.00476101981547874,0.011030313204402212,0.0,0.18208156613147986,0.019346401580748514,0.014541883387019987,0.0022614776777362534,0.005281088903893525,0.03275853094250829
ramond,0.0039671534822692716,0.00209899496906178,0.01992424449692487,0.18208156613147986,0.0,0.14634728362602914,0.18072634760970363,0.05251672025723587,0.11819511529698914,0.0861903550203238
maxime,0.004730196893962627,0.003240293502685656,0.022790033133049555,0.019346401580748514,0.14634728362602914,0.0,0.03808215395057745,0.04065764067524782,0.03334740508281235,0.11566117532398887
charles,0.006051253203904114,0.00488001610401316,0.029900416947750846,0.014541883387019987,0.18072634760970363,0.03808215395057745,0.0,0.05280421379878135,0.0018937025709852328,0.010605338532121429
rougon,0.0005336963910405049,0.0008772974176946114,0.00293930005260125,0.0022614776777362534,0.05251672025723587,0.04065764067524782,0.05280421379878135,0.0,0.09142310045489391,0.11025560978495973
macquart,0.005945702873281147,0.004240589540012995,0.023578868966226765,0.005281088903893525,0.11819511529698914,0.03334740508281235,0.0018937025709852328,0.09142310045489391,0.0,0.13036809710203648
uncle macquart,0.010030520022684777,0.004684237867800783,0.02826413210799573,0.03275853094250829,0.0861903550203238,0.11566117532398887,0.010605338532121429,0.11025560978495973,0.13036809710203648,0.0
