,clotilde,pascal,martine,felicite,ramond,maxime,charles,rougon,macquart,uncle macquart
clotilde,0.0,0.016330488346840307,0.0020879917045876174,0.0029661480260660214,0.003701937371780454,0.004931944837981126,0.006230183555314864,0.000551588330202023,0.0062007114067764695,0.009708262551850488
pascal,0.016330488346840307,0.0,0.0052282657072538425,0.004948867605695486,0.0019916298341377016,0.0033822113140352804,0.005037931068629505,0.000933638075383167,0.0044348227627544114,0.004505736172395649
martine,0.0020879917045876174,0.0052282657072538425,0.0,0.011408150958597223,0.018892494874735072,0.02372489787525319,0.030403383565188635,0.0029308893448188747,0.023917492521023827,0.02723798693749537
felicite,0.0029661480260660214,0.004948867605695486,0.011408150958597223,0.0,0.17883361877432172,0.01908640391563516,0.014262658748959739,0.00225870168203837,0.005348409904747508,0.030944232477197294
ramond,0.003701937371780454,0.0019916298341377016,0.018892494874735072,0.17883361877432172,0.0,0.14645883397030837,0.17905321949728853,0.053577606153496875,0.11982410202949387,0.08507595641835229
maxime,0.004931944837981126,0.0033822113140352804,0.02372489787525319,0.01908640391563516,0.14645883397030837,0.0,0.036622928825554305,0.03993760920188436,0.032170535922583746,0.10917153113431687
charles,0.006230183555314864,0.005037931068629505,0.030403383565188635,0.014262658748959739,0.17905321949728853,0.036622928825554305,0.0,0.051991634169434,0.0019385054656476178,0.010282332652657785
rougon,0.000551588330202023,0.000933638075383167,0.0029308893448188747,0.00225870168203837,0.053577606153496875,0.03993760920188436,0.051991634169434,0.0,0.09287997695968386,0.10774207108857513
macquart,0.0062007114067764695,0.0044348227627544114,0.023917492521023827,0.005348409904747508,0.11982410202949387,0.032170535922583746,0.0019385054656476178,0.09287997695968386,0.0,0.12973655351470864
uncle macquart,0.009708262551850488,0.004505736172395649,0.02723798693749537,0.030944232477197294,0.08507595641835229,0.10917153113431687,0.010282332652657785,0.10774207108857513,0.12973655351470864,0.0
