,étienne,catherine,maheu,maheude,chaval,zacharie,jeanlin,m. hennebeau,bonnemort,levaque
étienne,0.0,0.013635620871791364,0.024325237513828608,0.011144371445154072,0.006160353669543215,0.006565667522385831,0.0027854230208452357,0.01872325405233716,0.0040407156768628,0.0025011092167776
catherine,0.013635620871791364,0.0,0.10124177489551747,0.017283112997252763,0.0015016368652342033,0.005322113359726373,0.010130649497974745,0.03142971833227956,0.007573992606576126,0.004435270292321291
maheu,0.024325237513828608,0.10124177489551747,0.0,0.03912495548961852,0.047152488800285004,0.012046814455999953,0.008308538597711516,0.030128837476558874,0.012528496344982055,0.0005673118668200611
maheude,0.011144371445154072,0.017283112997252763,0.03912495548961852,0.0,0.0484899096076594,0.06719424483531126,0.05157666703765487,0.06813210479491635,0.01249000976984353,0.018404000168834908
chaval,0.006160353669543215,0.0015016368652342033,0.047152488800285004,0.0484899096076594,0.0,0.1465351492342568,0.03364460584595455,0.05024630894516824,0.023126818664031743,0.02577111829002624
zacharie,0.006565667522385831,0.005322113359726373,0.012046814455999953,0.06719424483531126,0.1465351492342568,0.0,0.10094365703431152,0.118874712243383,0.022225817062989404,0.01724504119125361
jeanlin,0.0027854230208452357,0.010130649497974745,0.008308538597711516,0.05157666703765487,0.03364460584595455,0.10094365703431152,0.0,0.04832725747534479,0.01649215002452804,0.015768157945324154
m. hennebeau,0.01872325405233716,0.03142971833227956,0.030128837476558874,0.06813210479491635,0.05024630894516824,0.118874712243383,0.04832725747534479,0.0,0.06830643583973069,0.11218322547049484
bonnemort,0.0040407156768628,0.007573992606576126,0.012528496344982055,0.01249000976984353,0.023126818664031743,0.022225817062989404,0.01649215002452804,0.06830643583973069,0.0,0.0850571330597908
levaque,0.0025011092167776,0.004435270292321291,0.0005673118668200611,0.018404000168834908,0.02577111829002624,0.01724504119125361,0.015768157945324154,0.11218322547049484,0.0850571330597908,0.0
