,étienne,catherine,maheu,maheude,chaval,zacharie,jeanlin,m. hennebeau,bonnemort,levaque
étienne,0.0,0.013943343438592676,0.024966389324539612,0.01129097559651329,0.005960068929696726,0.006777418283565612,0.0028636884452163413,0.017923902759928768,0.0040873954748514366,0.0025793347203287224
catherine,0.013943343438592676,0.0,0.09849657444149576,0.017132342260946898,0.0014421206653847636,0.0052413468282621715,0.009775378697789326,0.030230187666902636,0.007523154745389693,0.0043702195015256715
maheu,0.024966389324539612,0.09849657444149576,0.0,0.03778466500184186,0.04458876904026631,0.011799728755970334,0.00804052275339341,0.028580627820927115,0.012394607859249274,0.0005811883614710381
maheude,0.01129097559651329,0.017132342260946898,0.03778466500184186,0.0,0.047719346935888224,0.06973399935971808,0.050440546770002016,0.06451645443769038,0.012917055164495976,0.019320930276873573
chaval,0.005960068929696726,0.0014421206653847636,0.04458876904026631,0.047719346935888224,0.0,0.14795667265658669,0.033545295753781554,0.04843953065480208,0.023567321571350105,0.026606610435395847
zacharie,0.006777418283565612,0.0052413468282621715,0.011799728755970334,0.06973399935971808,0.14795667265658669,0.0,0.10030546665358388,0.11666156171800024,0.02164427102531735,0.01653440839329191
jeanlin,0.0028636884452163413,0.009775378697789326,0.00804052275339341,0.050440546770002016,0.033545295753781554,0.10030546665358388,0.0,0.046401571414595694,0.016467928143934968,0.016438202550010904
m. hennebeau,0.017923902759928768,0.030230187666902636,0.028580627820927115,0.06451645443769038,0.04843953065480208,0.11666156171800024,0.046401571414595694,0.0,0.06894799510143075,0.11341223024853164
bonnemort,0.0040873954748514366,0.007523154745389693,0.012394607859249274,0.012917055164495976,0.023567321571350105,0.02164427102531735,0.016467928143934968,0.06894799510143075,0.0,0.08499959600009684
levaque,0.0025793347203287224,0.0043702195015256715,0.0005811883614710381,0.019320930276873573,0.026606610435395847,0.01653440839329191,0.016438202550010904,0.11341223024853164,0.08499959600009684,0.0
