,rougon,clorinde,m. kahn,du poizat,delestang,gilquin,madame correur,m. la rouquette,m. béjuin,merle
rougon,0.0,0.0017543021164486505,0.00255121867514122,0.0011404166750140655,0.0005462409046716766,0.006115098082752248,0.0012837879984272597,0.0021091386424579132,0.0006932801113960522,0.00028640881893180425
clorinde,0.0017543021164486505,0.0,0.032083277856833486,0.02758515063881711,0.008974798249112204,0.03735907426329336,0.010148592380299876,0.0074098556945007285,0.009809675400933695,0.01629360068969918
m. kahn,0.00255121867514122,0.032083277856833486,0.0,0.055019536773346256,0.053288909526973155,0.05577809782208009,0.012356438430139513,0.022843331753520123,0.0008445074551356792,0.01293990944202786
du poizat,0.0011404166750140655,0.02758515063881711,0.055019536773346256,0.0,0.05748894507966266,0.06324776635413751,0.026812971709184917,0.06747865359277329,0.029734055523923046,0.016703610769955135
delestang,0.0005462409046716766,0.008974798249112204,0.053288909526973155,0.05748894507966266,0.0,0.0841440202427953,0.0327106286898792,0.02782219683509724,0.025922469044624284,0.03412950394340167
gilquin,0.006115098082752248,0.03735907426329336,0.05577809782208009,0.06324776635413751,0.0841440202427953,0.0,0.030593622456231238,0.11429968653559605,0.08431179918813643,0.05401975402637076
madame correur,0.0012837879984272597,0.010148592380299876,0.012356438430139513,0.026812971709184917,0.0327106286898792,0.030593622456231238,0.0,0.08506200751016102,0.04171848852380921,0.04430890757483224
m. la rouquette,0.0021091386424579132,0.0074098556945007285,0.022843331753520123,0.06747865359277329,0.02782219683509724,0.11429968653559605,0.08506200751016102,0.0,0.057195652725604736,0.08620371096175879
m. béjuin,0.0006932801113960522,0.009809675400933695,0.0008445074551356792,0.029734055523923046,0.025922469044624284,0.08431179918813643,0.04171848852380921,0.057195652725604736,0.0,0.05995439277645142
merle,0.00028640881893180425,0.01629360068969918,0.01293990944202786,0.016703610769955135,0.03412950394340167,0.05401975402637076,0.04430890757483224,0.08620371096175879,0.05995439277645142,0.0
