,rougon,clorinde,m. kahn,du poizat,delestang,gilquin,madame correur,m. la rouquette,m. béjuin,merle
rougon,0.0,0.0018444280745933813,0.0023373662395520358,0.0011013191437831502,0.0005496247140222453,0.006280052965991134,0.00130592563165494,0.0022694077114221514,0.0006309721717293738,0.00028434913219356283
clorinde,0.0018444280745933813,0.0,0.030041030362986186,0.02655728859856963,0.008606694282013567,0.039735435907813914,0.010444875681169384,0.00751937589717529,0.008433387336252552,0.01592906689830722
m. kahn,0.0023373662395520358,0.030041030362986186,0.0,0.056279781351559297,0.05577920467647966,0.05718965193196417,0.012520692234195167,0.02493375783944393,0.0008455307030050378,0.013140929126715998
du poizat,0.0011013191437831502,0.02655728859856963,0.056279781351559297,0.0,0.05886926137901623,0.06381337971728711,0.028365277793678607,0.07180365316881474,0.02857093708722014,0.017385949234907647
delestang,0.0005496247140222453,0.008606694282013567,0.05577920467647966,0.05886926137901623,0.0,0.08775194603969735,0.03441475074418429,0.02911946441083823,0.024516579599740417,0.03663247112978159
gilquin,0.006280052965991134,0.039735435907813914,0.05718965193196417,0.06381337971728711,0.08775194603969735,0.0,0.031126981911401674,0.11872621017467183,0.08037916382836018,0.052382588078610945
madame correur,0.00130592563165494,0.010444875681169384,0.012520692234195167,0.028365277793678607,0.03441475074418429,0.031126981911401674,0.0,0.08943921588061299,0.03876053763397961,0.0440680644190766
m. la rouquette,0.0022694077114221514,0.00751937589717529,0.02493375783944393,0.07180365316881474,0.02911946441083823,0.11872621017467183,0.08943921588061299,0.0,0.057375053472329136,0.08613624391294553
m. béjuin,0.0006309721717293738,0.008433387336252552,0.0008455307030050378,0.02857093708722014,0.024516579599740417,0.08037916382836018,0.03876053763397961,0.057375053472329136,0.0,0.057324004972377704
merle,0.00028434913219356283,0.01592906689830722,0.013140929126715998,0.017385949234907647,0.03663247112978159,0.052382588078610945,0.0440680644190766,0.08613624391294553,0.057324004972377704,0.0
