,claude,christine,jory,mahoudeau,fagerolles,dubuche,bongrand,gagniere,sandoz,mathilde
claude,0.0,0.0006178618156432573,0.0011804816366354051,0.0013328858958406298,0.001442962359204302,0.0011937195542429222,0.0038262038709385876,0.0008890986690352098,0.000562717285151019,0.0012481714350704597
christine,0.0006178618156432573,0.0,0.03419208429812325,0.024586032935346024,0.041895009509191505,0.030396672316124942,0.035683208514524764,0.017298995949499726,0.014772101438061127,0.014171607848793517
jory,0.0011804816366354051,0.03419208429812325,0.0,0.02102860542673427,0.04225167006257885,0.06433042598665359,0.03165269664241944,0.006730097914527999,0.017409981799001,0.0015200485171588376
mahoudeau,0.0013328858958406298,0.024586032935346024,0.02102860542673427,0.0,0.04810099495023319,0.08610984201707238,0.048800706680222745,0.011395443561390405,0.01835693682270738,0.0025857564621483507
fagerolles,0.001442962359204302,0.041895009509191505,0.04225167006257885,0.04810099495023319,0.0,0.12495218130651427,0.018785399877830723,0.007392855569911031,0.019848210738092873,0.013374294329272236
dubuche,0.0011937195542429222,0.030396672316124942,0.06433042598665359,0.08610984201707238,0.12495218130651427,0.0,0.10825692425774748,0.032108962488184296,0.01437319988207633,0.031096984013604625
bongrand,0.0038262038709385876,0.035683208514524764,0.03165269664241944,0.048800706680222745,0.018785399877830723,0.10825692425774748,0.0,0.047769626289386316,0.06271934525198546,0.04802649009739215
gagniere,0.0008890986690352098,0.017298995949499726,0.006730097914527999,0.011395443561390405,0.007392855569911031,0.032108962488184296,0.047769626289386316,0.0,0.049362628683859294,0.029913798465812966
sandoz,0.000562717285151019,0.014772101438061127,0.017409981799001,0.01835693682270738,0.019848210738092873,0.01437319988207633,0.06271934525198546,0.049362628683859294,0.0,0.02202482607810739
mathilde,0.0012481714350704597,0.014171607848793517,0.0015200485171588376,0.0025857564621483507,0.013374294329272236,0.031096984013604625,0.04802649009739215,0.029913798465812966,0.02202482607810739,0.0
