,claude,christine,jory,mahoudeau,fagerolles,dubuche,bongrand,gagniere,sandoz,mathilde
claude,0.0,0.0006071401222561155,0.00116908573205042,0.0013034723858948106,0.0013702307244203885,0.001198711719550026,0.003609615835877645,0.000859307952008769,0.0005570931329904401,0.0012081117914855648
christine,0.0006071401222561155,0.0,0.03333605096421849,0.024252511938608324,0.03995088643783324,0.03129935452350466,0.033817111538756675,0.016939298616096,0.014955409134511363,0.013875531481427355
jory,0.00116908573205042,0.03333605096421849,0.0,0.020388402393907427,0.040353003005075085,0.06515577077624846,0.02984425892883203,0.006564696748666442,0.017329613937633187,0.0014785152726534392
mahoudeau,0.0013034723858948106,0.024252511938608324,0.020388402393907427,0.0,0.046487451908644666,0.0864327051073001,0.04620566501539422,0.011054904460273737,0.01820799388684926,0.0024352928661135207
fagerolles,0.0013702307244203885,0.03995088643783324,0.040353003005075085,0.046487451908644666,0.0,0.1245503855256547,0.017759719843764087,0.007038353185778999,0.02009115796015618,0.01292768567084589
dubuche,0.001198711719550026,0.03129935452350466,0.06515577077624846,0.0864327051073001,0.1245503855256547,0.0,0.10441235469180209,0.03059178336411654,0.013734804081349807,0.029622977604245097
bongrand,0.003609615835877645,0.033817111538756675,0.02984425892883203,0.04620566501539422,0.017759719843764087,0.10441235469180209,0.0,0.0452805206157224,0.061750455256732464,0.04556098155385231
gagniere,0.000859307952008769,0.016939298616096,0.006564696748666442,0.011054904460273737,0.007038353185778999,0.03059178336411654,0.0452805206157224,0.0,0.04930828575320497,0.028680272858078053
sandoz,0.0005570931329904401,0.014955409134511363,0.017329613937633187,0.01820799388684926,0.02009115796015618,0.013734804081349807,0.061750455256732464,0.04930828575320497,0.0,0.021077264960270764
mathilde,0.0012081117914855648,0.013875531481427355,0.0014785152726534392,0.0024352928661135207,0.01292768567084589,0.029622977604245097,0.04556098155385231,0.028680272858078053,0.021077264960270764,0.0
