,gervaise,coupeau,lantier,nana,virginie,boche,goujet,mon dieu,madame lerat,madame boche
gervaise,0.0,0.009469657028473832,0.0029218330481770027,0.008747395077165251,0.000894500235913419,0.001557352339717639,0.0007446379695908376,0.0005065093526124869,0.0022373858326778643,0.0008240405539978252
coupeau,0.009469657028473832,0.0,0.009640508218919756,0.014813117920583905,0.01871243676732587,0.0021154059898747554,0.006217751857353887,0.0015451627114178364,0.0021898189126727803,0.008077007074669233
lantier,0.0029218330481770027,0.009640508218919756,0.0,0.10918438854647451,0.0587214791381639,0.08334700046082542,0.06611310638084132,0.04809421045282126,0.029728317793377906,0.0812278129518559
nana,0.008747395077165251,0.014813117920583905,0.10918438854647451,0.0,0.17643091796431434,0.16150014522163886,0.06833692578343943,0.023455961922178935,0.012626618540470293,0.22847678259717666
virginie,0.000894500235913419,0.01871243676732587,0.0587214791381639,0.17643091796431434,0.0,0.04693818551264365,0.03148588178038699,0.04193333457162393,0.025941735535583987,0.03396167113484663
boche,0.001557352339717639,0.0021154059898747554,0.08334700046082542,0.16150014522163886,0.04693818551264365,0.0,0.07272474537121527,0.1803581546346073,0.07392609436050154,0.03993531030301744
goujet,0.0007446379695908376,0.006217751857353887,0.06611310638084132,0.06833692578343943,0.03148588178038699,0.07272474537121527,0.0,0.15052258175791308,0.09656412553410985,0.15714870537293718
mon dieu,0.0005065093526124869,0.0015451627114178364,0.04809421045282126,0.023455961922178935,0.04193333457162393,0.1803581546346073,0.15052258175791308,0.0,0.09184918725908281,0.37435021435831356
madame lerat,0.0022373858326778643,0.0021898189126727803,0.029728317793377906,0.012626618540470293,0.025941735535583987,0.07392609436050154,0.09656412553410985,0.09184918725908281,0.0,0.2732433083768979
madame boche,0.0008240405539978252,0.008077007074669233,0.0812278129518559,0.22847678259717666,0.03396167113484663,0.03993531030301744,0.15714870537293718,0.37435021435831356,0.2732433083768979,0.0
