,berthe,auguste,madame josserand,duveyrier,trublot,bachelard,monsieur josserand,hortense,clotilde,marie
berthe,0.0,0.01039041231949469,0.002771700355543833,0.012095281015137292,0.006890287355367289,0.01356747794813237,0.002376958485942197,0.0005423672730894818,0.007636248256334806,0.015680005890601888
auguste,0.01039041231949469,0.0,0.18990390461875248,0.02053499464391997,0.08895644143708341,0.029360888003435826,0.1051861604798932,0.07519085133306208,0.016068865610404263,0.07050882677751787
madame josserand,0.002771700355543833,0.18990390461875248,0.0,0.04253810575861826,0.0261795090555502,0.028276418925458603,0.0038345084103366812,0.0017281987188663905,0.0329036610566609,0.03499214971786081
duveyrier,0.012095281015137292,0.02053499464391997,0.04253810575861826,0.0,0.14302703427408733,0.04317042653795457,0.13649107656019327,0.09905718903852834,0.020274796381603226,0.07969090518727248
trublot,0.006890287355367289,0.08895644143708341,0.0261795090555502,0.14302703427408733,0.0,0.06264966283458065,0.04066656985202083,0.03674500527000239,0.07660830811890626,0.032268881591841735
bachelard,0.01356747794813237,0.029360888003435826,0.028276418925458603,0.04317042653795457,0.06264966283458065,0.0,0.11427094447146575,0.06571369997180893,0.072212304838062,0.06340896278699895
monsieur josserand,0.002376958485942197,0.1051861604798932,0.0038345084103366812,0.13649107656019327,0.04066656985202083,0.11427094447146575,0.0,0.013577885469449097,0.14523356617867672,0.05617035544650538
hortense,0.0005423672730894818,0.07519085133306208,0.0017281987188663905,0.09905718903852834,0.03674500527000239,0.06571369997180893,0.013577885469449097,0.0,0.20671310441901294,0.08276997276341747
clotilde,0.007636248256334806,0.016068865610404263,0.0329036610566609,0.020274796381603226,0.07660830811890626,0.072212304838062,0.14523356617867672,0.20671310441901294,0.0,0.2143782114007763
marie,0.015680005890601888,0.07050882677751787,0.03499214971786081,0.07969090518727248,0.032268881591841735,0.06340896278699895,0.05617035544650538,0.08276997276341747,0.2143782114007763,0.0
