,maurice,jean,henriette,delaherche,weiss,loubet,silvine,honore,gilberte,fouchard
maurice,0.0,0.007172383193675496,0.011651653811007443,0.015484623420446667,0.009174628335298248,0.001063995501313727,0.02317092243920321,0.0048490217583298505,0.015174717688161376,0.014264004070619035
jean,0.007172383193675496,0.0,0.011397751692860607,0.01963475048349084,0.01398187181203235,0.0010909487861747401,0.015456947512690696,0.006779918800981906,0.014930241445213498,0.007963592850652757
henriette,0.011651653811007443,0.011397751692860607,0.0,0.0484989014790391,0.10087570370539264,0.11142865350952477,0.034147399569995594,0.05924150883370541,0.0053317916730410905,0.019964202173508694
delaherche,0.015484623420446667,0.01963475048349084,0.0484989014790391,0.0,0.1456706843374545,0.16449282362730616,0.0790636287287676,0.06578265984679246,0.012360740273186514,0.06226563237622153
weiss,0.009174628335298248,0.01398187181203235,0.10087570370539264,0.1456706843374545,0.0,0.10153607975222573,0.247625550637695,0.0856649150843016,0.1573968095126891,0.2156051172183436
loubet,0.001063995501313727,0.0010909487861747401,0.11142865350952477,0.16449282362730616,0.10153607975222573,0.0,0.2877772703337005,0.049824664824277554,0.17246100769918,0.16751896840926428
silvine,0.02317092243920321,0.015456947512690696,0.034147399569995594,0.0790636287287676,0.247625550637695,0.2877772703337005,0.0,0.16932051601592082,0.07692498440122135,0.009384325951357532
honore,0.0048490217583298505,0.006779918800981906,0.05924150883370541,0.06578265984679246,0.0856649150843016,0.049824664824277554,0.16932051601592082,0.0,0.1589637952125486,0.14254380664557614
gilberte,0.015174717688161376,0.014930241445213498,0.0053317916730410905,0.012360740273186514,0.1573968095126891,0.17246100769918,0.07692498440122135,0.1589637952125486,0.0,0.09746172207463011
fouchard,0.014264004070619035,0.007963592850652757,0.019964202173508694,0.06226563237622153,0.2156051172183436,0.16751896840926428,0.009384325951357532,0.14254380664557614,0.09746172207463011,0.0
