,florent,lisa,quenu,mademoiselle saget,gavard,claude,marjolin,cadine,la sarriette,monsieur lebigre
florent,0.0,0.024512830364038403,0.003271104362840564,0.007916468524702161,0.000946513118304057,0.002752982749948272,0.04395707899626867,0.047143935183168124,0.007219583906965717,0.0011328322830262668
lisa,0.024512830364038403,0.0,0.0024620420388345703,0.011854911112376736,0.007351921461655962,0.026709299804642705,0.018971822202931067,0.027606388625765494,0.011469595807455015,0.006064066399230828
quenu,0.003271104362840564,0.0024620420388345703,0.0,0.2014146668730249,0.04176183062444759,0.06916886896795924,0.11408423166548999,0.10158351690853867,0.0837282957296886,0.04421023017423674
mademoiselle saget,0.007916468524702161,0.011854911112376736,0.2014146668730249,0.0,0.13229684379968087,0.10755597077031485,0.10068884466414882,0.09830504461249012,0.0046151478909273545,0.028192117667427852
gavard,0.000946513118304057,0.007351921461655962,0.04176183062444759,0.13229684379968087,0.0,0.11477498833184784,0.10791137353063095,0.10594101103907046,0.0987892584508016,0.017338035318059986
claude,0.002752982749948272,0.026709299804642705,0.06916886896795924,0.10755597077031485,0.11477498833184784,0.0,0.1345294060847694,0.14130394087563328,0.06737213603599916,0.08453297660717415
marjolin,0.04395707899626867,0.018971822202931067,0.11408423166548999,0.10068884466414882,0.10791137353063095,0.1345294060847694,0.0,0.009702198857357514,0.1445772460010758,0.08408311942244936
cadine,0.047143935183168124,0.027606388625765494,0.10158351690853867,0.09830504461249012,0.10594101103907046,0.14130394087563328,0.009702198857357514,0.0,0.15591252727913388,0.0928946383057844
la sarriette,0.007219583906965717,0.011469595807455015,0.0837282957296886,0.0046151478909273545,0.0987892584508016,0.06737213603599916,0.1445772460010758,0.15591252727913388,0.0,0.09124104182015001
monsieur lebigre,0.0011328322830262668,0.006064066399230828,0.04421023017423674,0.028192117667427852,0.017338035318059986,0.08453297660717415,0.08408311942244936,0.0928946383057844,0.09124104182015001,0.0
