,florent,lisa,quenu,mademoiselle saget,gavard,claude,marjolin,cadine,la sarriette,monsieur lebigre
florent,0.0,0.0237614218862367,0.003298576448671419,0.00736562021560684,0.0009159033108279938,0.002651458299997461,0.04140522523959464,0.0444835122495237,0.006722460966606238,0.00107982582924108
lisa,0.0237614218862367,0.0,0.0025690253283450325,0.011128871767246524,0.007228877725892858,0.027792121616595465,0.018142153372418177,0.026317891472691,0.010708974547859755,0.005894803294205653
quenu,0.003298576448671419,0.0025690253283450325,0.0,0.19482148377957026,0.04091634180327806,0.06938690809691822,0.10968455322754206,0.09722487604337973,0.07876280785358547,0.041999930248883564
mademoiselle saget,0.00736562021560684,0.011128871767246524,0.19482148377957026,0.0,0.12752817882530443,0.10705262611692287,0.09474573798402675,0.09265175100270438,0.004373891306462893,0.026975591560064332
gavard,0.0009159033108279938,0.007228877725892858,0.04091634180327806,0.12752817882530443,0.0,0.1148731258097843,0.10366570521166478,0.10145513673779966,0.09289082615775499,0.016490752108651863
claude,0.002651458299997461,0.027792121616595465,0.06938690809691822,0.10705262611692287,0.1148731258097843,0.0,0.1309110574305808,0.13652697056525342,0.06409015637973813,0.07965072103744074
marjolin,0.04140522523959464,0.018142153372418177,0.10968455322754206,0.09474573798402675,0.10366570521166478,0.1309110574305808,0.0,0.009347096139941443,0.13648508769772605,0.08005866460346968
cadine,0.0444835122495237,0.026317891472691,0.09722487604337973,0.09265175100270438,0.10145513673779966,0.13652697056525342,0.009347096139941443,0.0,0.1470057571610346,0.08842137835753787
la sarriette,0.006722460966606238,0.010708974547859755,0.07876280785358547,0.004373891306462893,0.09289082615775499,0.06409015637973813,0.13648508769772605,0.1470057571610346,0.0,0.08651239825837109
monsieur lebigre,0.00107982582924108,0.005894803294205653,0.041999930248883564,0.026975591560064332,0.016490752108651863,0.07965072103744074,0.08005866460346968,0.08842137835753787,0.08651239825837109,0.0
