,florent,lisa,quenu,mademoiselle saget,gavard,claude,marjolin,cadine,la sarriette,monsieur lebigre
florent,0.0,0.025074978389844783,0.0032176127755244063,0.00843069621734618,0.0009696774214669583,0.0028394522620749157,0.046208989128494235,0.04947212926392334,0.007683405934514662,0.0011778552450052685
lisa,0.025074978389844783,0.0,0.00234040255057653,0.012522981222878591,0.007410950058145698,0.025533842226439993,0.01966396484847653,0.028691599459592692,0.012181361536135261,0.00619400389912553
quenu,0.0032176127755244063,0.00234040255057653,0.0,0.20644566292239927,0.04225760991353316,0.06853927716117635,0.11759482789029936,0.10517203251382003,0.0881950051947583,0.04614749154812752
mademoiselle saget,0.00843069621734618,0.012522981222878591,0.20644566292239927,0.0,0.1360267679906942,0.10734645019014699,0.10600396271722556,0.1033164566797263,0.004830982839848606,0.029212437186363252
gavard,0.0009696774214669583,0.007410950058145698,0.04225760991353316,0.1360267679906942,0.0,0.11390858896095757,0.11129995526642925,0.10960065687522133,0.10409999499876049,0.01808326622864303
claude,0.0028394522620749157,0.025533842226439993,0.06853927716117635,0.10734645019014699,0.11390858896095757,0.0,0.13720941919037052,0.14508641753806578,0.07025253463454305,0.08887534223682828
marjolin,0.046208989128494235,0.01966396484847653,0.11759482789029936,0.10600396271722556,0.11129995526642925,0.13720941919037052,0.0,0.009981448709417336,0.15178743746440315,0.08750997734674176
cadine,0.04947212926392334,0.028691599459592692,0.10517203251382003,0.1033164566797263,0.10960065687522133,0.14508641753806578,0.009981448709417336,0.0,0.16385826813587656,0.09670835039672919
la sarriette,0.007683405934514662,0.012181361536135261,0.0881950051947583,0.004830982839848606,0.10409999499876049,0.07025253463454305,0.15178743746440315,0.16385826813587656,0.0,0.0953937258132046
monsieur lebigre,0.0011778552450052685,0.00619400389912553,0.04614749154812752,0.029212437186363252,0.01808326622864303,0.08887534223682828,0.08750997734674176,0.09670835039672919,0.0953937258132046,0.0
