,silvere,miette,felicite,pierre,rougon,macquart,granoux,antoine,aristide,eugene
silvere,0.0,0.019124901745915145,0.12729347209625672,0.11192178045807198,0.10632378322806256,0.044121744408633,0.0739406060839564,0.06442622409603044,0.08267573439492029,0.13492813053364275
miette,0.019124901745915145,0.0,0.14780610387534077,0.13053702776428275,0.1252828757362757,0.07780212701856783,0.10808794534416964,0.09829669582030919,0.10765343438321884,0.15302271515096544
felicite,0.12729347209625672,0.14780610387534077,0.0,0.04775111620661836,0.07546724479725014,0.03275743236813575,0.010440206278821171,0.03940266110128733,0.004451822780371748,0.011251788684800822
pierre,0.11192178045807198,0.13053702776428275,0.04775111620661836,0.0,0.12459404624599119,0.021919982097815927,0.010414911035048538,0.01717445973548444,0.005111424296006124,0.011659550948339018
rougon,0.10632378322806256,0.1252828757362757,0.07546724479725014,0.12459404624599119,0.0,0.050765375383860396,0.01113484238930071,0.11386702530739055,0.049294301724326334,0.11095705491579945
macquart,0.044121744408633,0.07780212701856783,0.03275743236813575,0.021919982097815927,0.050765375383860396,0.0,0.052321090897451045,0.0520535640678852,0.04454666088591455,0.08739324148251051
granoux,0.0739406060839564,0.10808794534416964,0.010440206278821171,0.010414911035048538,0.01113484238930071,0.052321090897451045,0.0,0.1894125340794135,0.07213635464071538,0.13835416293510786
antoine,0.06442622409603044,0.09829669582030919,0.03940266110128733,0.01717445973548444,0.11386702530739055,0.0520535640678852,0.1894125340794135,0.0,0.10456980196013703,0.07528521718848256
aristide,0.08267573439492029,0.10765343438321884,0.004451822780371748,0.005111424296006124,0.049294301724326334,0.04454666088591455,0.07213635464071538,0.10456980196013703,0.0,0.06286422671646986
eugene,0.13492813053364275,0.15302271515096544,0.011251788684800822,0.011659550948339018,0.11095705491579945,0.08739324148251051,0.13835416293510786,0.07528521718848256,0.06286422671646986,0.0
