,silvere,miette,felicite,pierre,rougon,macquart,granoux,antoine,aristide,eugene
silvere,0.0,0.019403789819753593,0.13071344429108817,0.11216708426469021,0.11706261636838838,0.04665073125099851,0.07989793431271539,0.06442147966980012,0.08174741780306972,0.1326012659358047
miette,0.019403789819753593,0.0,0.1510303314574813,0.13047937980986413,0.13789615737301564,0.0831092944582108,0.1166982989579134,0.10060062784819333,0.1046262046136829,0.14367579235436764
felicite,0.13071344429108817,0.1510303314574813,0.0,0.050062755348799254,0.08122495884131002,0.033568499496239815,0.011763956233685997,0.0380147210050917,0.004463731836502782,0.010746986938978813
pierre,0.11216708426469021,0.13047937980986413,0.050062755348799254,0.0,0.1346385612326701,0.023129452107436735,0.011711899076265271,0.017068934728616036,0.005159245030725547,0.011234513451129146
rougon,0.11706261636838838,0.13789615737301564,0.08122495884131002,0.1346385612326701,0.0,0.05435762481283058,0.011083408330541424,0.11936608636302294,0.049312375645174336,0.11155326299384033
macquart,0.04665073125099851,0.0831092944582108,0.033568499496239815,0.023129452107436735,0.05435762481283058,0.0,0.05614504384105949,0.05344517246015393,0.04364760704105091,0.08466849979504325
granoux,0.07989793431271539,0.1166982989579134,0.011763956233685997,0.011711899076265271,0.011083408330541424,0.05614504384105949,0.0,0.19959145432242498,0.07344994216626696,0.1415458986887623
antoine,0.06442147966980012,0.10060062784819333,0.0380147210050917,0.017068934728616036,0.11936608636302294,0.05344517246015393,0.19959145432242498,0.0,0.10819843692048983,0.0742101178350944
aristide,0.08174741780306972,0.1046262046136829,0.004463731836502782,0.005159245030725547,0.049312375645174336,0.04364760704105091,0.07344994216626696,0.10819843692048983,0.0,0.06554738419689908
eugene,0.1326012659358047,0.14367579235436764,0.010746986938978813,0.011234513451129146,0.11155326299384033,0.08466849979504325,0.1415458986887623,0.0742101178350944,0.06554738419689908,0.0
