,pauline,lazare,chanteau,louise,véronique,madame chanteau,matthew,minouche,cazenove,abbé horteur
pauline,0.0,0.008066393579680687,0.0035349583752777524,0.0013189156130468131,0.001310409261065382,0.0006382088702487364,0.0020581573068568556,0.0007522789115462061,0.0005413925167193955,0.0010586985671680402
lazare,0.008066393579680687,0.0,0.005672415757699334,0.004284180172182937,0.002071471360155164,0.0013110691115530918,0.0009953505819832466,0.0009372084555232046,0.0006545383658254307,0.0006974925138352697
chanteau,0.0035349583752777524,0.005672415757699334,0.0,0.11810364753174292,0.00455383297011211,0.0032427708542620325,0.005329536148345751,0.0015639553892516304,0.0010677711546163518,0.0017383770478020422
louise,0.0013189156130468131,0.004284180172182937,0.11810364753174292,0.0,0.042439404216796386,0.08265544795588786,0.04587600194706305,0.022334625861424665,0.011373692657788089,0.03358681674397696
véronique,0.001310409261065382,0.002071471360155164,0.00455383297011211,0.042439404216796386,0.0,0.09075176640834409,0.009123684447798036,0.005568421750864537,0.005181681357976524,0.006427037626291701
madame chanteau,0.0006382088702487364,0.0013110691115530918,0.0032427708542620325,0.08265544795588786,0.09075176640834409,0.0,0.025484370840815323,0.027593147589613155,0.03808271256163535,0.04419767889159276
matthew,0.0020581573068568556,0.0009953505819832466,0.005329536148345751,0.04587600194706305,0.009123684447798036,0.025484370840815323,0.0,0.02140664084117361,0.05148419767072852,0.028858905569207848
minouche,0.0007522789115462061,0.0009372084555232046,0.0015639553892516304,0.022334625861424665,0.005568421750864537,0.027593147589613155,0.02140664084117361,0.0,0.02700286084205959,0.044098189939891466
cazenove,0.0005413925167193955,0.0006545383658254307,0.0010677711546163518,0.011373692657788089,0.005181681357976524,0.03808271256163535,0.05148419767072852,0.02700286084205959,0.0,0.050462276354989746
abbé horteur,0.0010586985671680402,0.0006974925138352697,0.0017383770478020422,0.03358681674397696,0.006427037626291701,0.04419767889159276,0.028858905569207848,0.044098189939891466,0.050462276354989746,0.0
