,pauline,lazare,chanteau,louise,véronique,madame chanteau,matthew,minouche,cazenove,abbé horteur
pauline,0.0,0.008349302035624286,0.0031398361287721427,0.0013741305583465848,0.0011851495303594462,0.0005825775616618057,0.0020336277588884734,0.0007191517277081317,0.0005263064896594378,0.0010590334785017664
lazare,0.008349302035624286,0.0,0.005126974456654943,0.00441823131250862,0.0019044188380056247,0.0012270538892633993,0.0009454511275887641,0.0008982642793736994,0.0006469314310206579,0.0006907394208394123
chanteau,0.0031398361287721427,0.005126974456654943,0.0,0.11863218220097914,0.004536794617471688,0.0031136932493306896,0.0053710824421803385,0.001507188056353027,0.0010711684934069908,0.0017899917593889637
louise,0.0013741305583465848,0.00441823131250862,0.11863218220097914,0.0,0.04090882943044546,0.07933693190101537,0.04409360551759064,0.02083989733057713,0.0111627594803668,0.03432850145691847
véronique,0.0011851495303594462,0.0019044188380056247,0.004536794617471688,0.04090882943044546,0.0,0.09008311435341755,0.008988948265752668,0.005367373498064631,0.0051964743106391,0.006576328246599996
madame chanteau,0.0005825775616618057,0.0012270538892633993,0.0031136932493306896,0.07933693190101537,0.09008311435341755,0.0,0.026081162976621015,0.028627276683267186,0.04000030723346796,0.04613612653895568
matthew,0.0020336277588884734,0.0009454511275887641,0.0053710824421803385,0.04409360551759064,0.008988948265752668,0.026081162976621015,0.0,0.02171173192818296,0.053222500143021684,0.03014012934000002
minouche,0.0007191517277081317,0.0008982642793736994,0.001507188056353027,0.02083989733057713,0.005367373498064631,0.028627276683267186,0.02171173192818296,0.0,0.027001386773446125,0.04538485185724252
cazenove,0.0005263064896594378,0.0006469314310206579,0.0010711684934069908,0.0111627594803668,0.0051964743106391,0.04000030723346796,0.053222500143021684,0.027001386773446125,0.0,0.05181863382503424
abbé horteur,0.0010590334785017664,0.0006907394208394123,0.0017899917593889637,0.03432850145691847,0.006576328246599996,0.04613612653895568,0.03014012934000002,0.04538485185724252,0.05181863382503424,0.0
