,denise,mouret,hutin,bourdoncle,pauline,robineau,favier,madame desforges,baudu,henriette
denise,0.0,0.024757885304708776,0.0075709077102944465,0.007029992129590998,0.0005463404749908168,0.0029170546500285506,0.008260734572807807,0.0059907047035744065,0.0013214106944797264,0.0164380576042213
mouret,0.024757885304708776,0.0,0.027334246614461565,0.0007251754627408794,0.022911550066177355,0.023005564382164567,0.011493413559478124,0.00516689254375668,0.020885524091420186,0.0011204544495989563
hutin,0.0075709077102944465,0.027334246614461565,0.0,0.11317951046200275,0.0265442661490959,0.04474767517796716,0.0099074483602616,0.03876062331052365,0.10763135967764412,0.07030833197963725
bourdoncle,0.007029992129590998,0.0007251754627408794,0.11317951046200275,0.0,0.13409212050208147,0.09147580750548433,0.09380580210118059,0.06556519930622849,0.06151662376144447,0.06357204372673782
pauline,0.0005463404749908168,0.022911550066177355,0.0265442661490959,0.13409212050208147,0.0,0.07839715263925197,0.041789541381994595,0.06809015756697308,0.141968528969482,0.09844808015254466
robineau,0.0029170546500285506,0.023005564382164567,0.04474767517796716,0.09147580750548433,0.07839715263925197,0.0,0.06973431244465259,0.10261152023827257,0.0685765661021607,0.1507123701805056
favier,0.008260734572807807,0.011493413559478124,0.0099074483602616,0.09380580210118059,0.041789541381994595,0.06973431244465259,0.0,0.04500212590069541,0.13094110853403093,0.06703487868517409
madame desforges,0.0059907047035744065,0.00516689254375668,0.03876062331052365,0.06556519930622849,0.06809015756697308,0.10261152023827257,0.04500212590069541,0.0,0.1322388243607167,0.060231030942763115
baudu,0.0013214106944797264,0.020885524091420186,0.10763135967764412,0.06151662376144447,0.141968528969482,0.0685765661021607,0.13094110853403093,0.1322388243607167,0.0,0.1803885807516434
henriette,0.0164380576042213,0.0011204544495989563,0.07030833197963725,0.06357204372673782,0.09844808015254466,0.1507123701805056,0.06703487868517409,0.060231030942763115,0.1803885807516434,0.0
