,buteau,jean,françoise,lise,fouan,hyacinthe,delhomme,hourdequin,macqueron,jacqueline
buteau,0.0,0.026574913658958036,0.006919316099771552,0.011531322697138071,0.0032757167994310558,0.005147130351120122,0.002417681763051614,0.010640916206769753,0.006633300761606207,0.010225704827447012
jean,0.026574913658958036,0.0,0.008368843616156238,0.0096629678816456,0.020887624716382867,0.030629071545364896,0.008901263438862224,0.008367624897107847,0.013700400786252372,0.00191618180152649
françoise,0.006919316099771552,0.008368843616156238,0.0,0.03361776512598136,0.02726411905341472,0.03533670707082172,0.01696927393252229,0.011122131501243672,0.013194566811213863,0.008789234128926892
lise,0.011531322697138071,0.0096629678816456,0.03361776512598136,0.0,0.04589225342219877,0.049113483531812475,0.01885949390319119,0.01421897633984941,0.016351807097257396,0.010158799110202052
fouan,0.0032757167994310558,0.020887624716382867,0.02726411905341472,0.04589225342219877,0.0,0.03136674653306283,0.013236799126458152,0.02854864169153461,0.015079312736251937,0.023399825670533805
hyacinthe,0.005147130351120122,0.030629071545364896,0.03533670707082172,0.049113483531812475,0.03136674653306283,0.0,0.03299681378837709,0.02940980342392004,0.012119600927801656,0.040421375560352746
delhomme,0.002417681763051614,0.008901263438862224,0.01696927393252229,0.01885949390319119,0.013236799126458152,0.03299681378837709,0.0,0.04065591375252484,0.020326617033340544,0.03424809498820148
hourdequin,0.010640916206769753,0.008367624897107847,0.011122131501243672,0.01421897633984941,0.02854864169153461,0.02940980342392004,0.04065591375252484,0.0,0.024795957090880134,0.03715162705414039
macqueron,0.006633300761606207,0.013700400786252372,0.013194566811213863,0.016351807097257396,0.015079312736251937,0.012119600927801656,0.020326617033340544,0.024795957090880134,0.0,0.08893002195430197
jacqueline,0.010225704827447012,0.00191618180152649,0.008789234128926892,0.010158799110202052,0.023399825670533805,0.040421375560352746,0.03424809498820148,0.03715162705414039,0.08893002195430197,0.0
