,pierre,marie,lourdes,bernadette,m. de guersaint,hyacinthe,raymonde,berthaud,gerard,la grivotte
pierre,0.0,0.0013349569259574492,0.0025660827389516055,0.007381952749672318,0.0006566803632806764,0.0033027933589291647,0.003233253409442211,0.009539676452228248,0.006703209022642017,0.0021940666474364583
marie,0.0013349569259574492,0.0,0.012254786273583153,0.01878424676265529,0.011136155871967255,0.006818510849887125,0.008374558040922752,0.01219939292413468,0.013771566202125602,0.00278293532621422
lourdes,0.0025660827389516055,0.012254786273583153,0.0,0.013078117436859051,0.02411883432206028,0.008234993220853653,0.0070485418633433276,0.01579194775110602,0.010984809427229191,0.00439788952533474
bernadette,0.007381952749672318,0.01878424676265529,0.013078117436859051,0.0,0.06581699262703866,0.05173358903504595,0.032013538123432043,0.03567678074163158,0.03922931614085441,0.02992895308772723
m. de guersaint,0.0006566803632806764,0.011136155871967255,0.02411883432206028,0.06581699262703866,0.0,0.09070498495809065,0.018299040822131685,0.054362942710709954,0.02144206695168381,0.013360283300296523
hyacinthe,0.0033027933589291647,0.006818510849887125,0.008234993220853653,0.05173358903504595,0.09070498495809065,0.0,0.04891489263797452,0.03994237322431283,0.061374027498048433,0.004718718406095257
raymonde,0.003233253409442211,0.008374558040922752,0.0070485418633433276,0.032013538123432043,0.018299040822131685,0.04891489263797452,0.0,0.04743784025808194,0.021632153182229743,0.05983259013635074
berthaud,0.009539676452228248,0.01219939292413468,0.01579194775110602,0.03567678074163158,0.054362942710709954,0.03994237322431283,0.04743784025808194,0.0,0.03965354037297876,0.09572019588067653
gerard,0.006703209022642017,0.013771566202125602,0.010984809427229191,0.03922931614085441,0.02144206695168381,0.061374027498048433,0.021632153182229743,0.03965354037297876,0.0,0.11616357061149715
la grivotte,0.0021940666474364583,0.00278293532621422,0.00439788952533474,0.02992895308772723,0.013360283300296523,0.004718718406095257,0.05983259013635074,0.09572019588067653,0.11616357061149715,0.0
