,pierre,marie,lourdes,bernadette,m. de guersaint,hyacinthe,raymonde,berthaud,gerard,la grivotte
pierre,0.0,0.0013388554265065754,0.0025481394370786502,0.007441004457531749,0.0006443046275759757,0.003363182010936593,0.0031834022824150827,0.009345319404717016,0.006599930155418837,0.002198769941686863
marie,0.0013388554265065754,0.0,0.012061591956230066,0.018615784449233806,0.01077093772559845,0.007031530000178649,0.008310440979228026,0.011901737332234524,0.01345143842577681,0.0027713890157322037
lourdes,0.0025481394370786502,0.012061591956230066,0.0,0.0130939398613464,0.02305310141843797,0.008549457581834482,0.006943349485861484,0.015203538224337735,0.010742977147576558,0.004445411687948393
bernadette,0.007441004457531749,0.018615784449233806,0.0130939398613464,0.0,0.06507425695696423,0.05347051739567428,0.031959317050872384,0.03453863152930657,0.03836358982979857,0.030449102733051566
m. de guersaint,0.0006443046275759757,0.01077093772559845,0.02305310141843797,0.06507425695696423,0.0,0.0923804873872784,0.017993495530305,0.05247959352233355,0.021044996595212587,0.013534029850564035
hyacinthe,0.003363182010936593,0.007031530000178649,0.008549457581834482,0.05347051739567428,0.0923804873872784,0.0,0.04702988427635549,0.03820865620751473,0.059337199283030224,0.0047951256042724575
raymonde,0.0031834022824150827,0.008310440979228026,0.006943349485861484,0.031959317050872384,0.017993495530305,0.04702988427635549,0.0,0.04690880004137965,0.021247293817290555,0.0596994498626156
berthaud,0.009345319404717016,0.011901737332234524,0.015203538224337735,0.03453863152930657,0.05247959352233355,0.03820865620751473,0.04690880004137965,0.0,0.03807831484818383,0.09572921243972692
gerard,0.006599930155418837,0.01345143842577681,0.010742977147576558,0.03836358982979857,0.021044996595212587,0.059337199283030224,0.021247293817290555,0.03807831484818383,0.0,0.11624581031642903
la grivotte,0.002198769941686863,0.0027713890157322037,0.004445411687948393,0.030449102733051566,0.013534029850564035,0.0047951256042724575,0.0596994498626156,0.09572921243972692,0.11624581031642903,0.0
