,pierre,guillaume,salvat,marie,gerard,duthil,duvillard,massot,silviane,thomas
pierre,0.0,0.007755369548075308,0.0032406131943904935,0.001197366382949182,0.01510185866551162,0.0064334830852704784,0.013170993024290202,0.005193547541132223,0.009532965365384689,0.0015101073214004008
guillaume,0.007755369548075308,0.0,0.012814622610545954,0.0022579393378164333,0.058715732415857584,0.036243456855365626,0.03656802744906436,0.02840195085649548,0.028339718276724227,0.00404073870421326
salvat,0.0032406131943904935,0.012814622610545954,0.0,0.06661928310142053,0.0436289972265617,0.022945747325942754,0.033894558314554596,0.028456806523891893,0.02635571890414996,0.029915638370706307
marie,0.001197366382949182,0.0022579393378164333,0.06661928310142053,0.0,0.20085041806640813,0.11684813204520113,0.10396352824404338,0.09932954291955294,0.0874959261167505,0.019529308325067635
gerard,0.01510185866551162,0.058715732415857584,0.0436289972265617,0.20085041806640813,0.0,0.06128621344833704,0.09760229600991985,0.08415714898049516,0.06481269053416401,0.1929449701493821
duthil,0.0064334830852704784,0.036243456855365626,0.022945747325942754,0.11684813204520113,0.06128621344833704,0.0,0.06528215598183035,0.015447736698953267,0.016039605649727354,0.09822285399538096
duvillard,0.013170993024290202,0.03656802744906436,0.033894558314554596,0.10396352824404338,0.09760229600991985,0.06528215598183035,0.0,0.09464165843480564,0.014645494677672176,0.11847485721009716
massot,0.005193547541132223,0.02840195085649548,0.028456806523891893,0.09932954291955294,0.08415714898049516,0.015447736698953267,0.09464165843480564,0.0,0.045609660844633644,0.09099073303984045
silviane,0.009532965365384689,0.028339718276724227,0.02635571890414996,0.0874959261167505,0.06481269053416401,0.016039605649727354,0.014645494677672176,0.045609660844633644,0.0,0.11068898117402849
thomas,0.0015101073214004008,0.00404073870421326,0.029915638370706307,0.019529308325067635,0.1929449701493821,0.09822285399538096,0.11847485721009716,0.09099073303984045,0.11068898117402849,0.0
