,pierre,guillaume,salvat,marie,gerard,duthil,duvillard,massot,silviane,thomas
pierre,0.0,0.008615086645890271,0.0035005878799221095,0.0013206008820190883,0.014578390064272136,0.006388444104081756,0.014147775747180557,0.005251623294038044,0.01015835663734711,0.001691314667871136
guillaume,0.008615086645890271,0.0,0.012397681104809629,0.0025072209522774,0.0553553281327049,0.03385234607478793,0.037967350788542714,0.02643331015917872,0.02890526620420898,0.004537573987683137
salvat,0.0035005878799221095,0.012397681104809629,0.0,0.07376602844875749,0.04143399304135058,0.021797499500326917,0.03591000157306555,0.02658902912672333,0.02798125108859012,0.034369786680146966
marie,0.0013206008820190883,0.0025072209522774,0.07376602844875749,0.0,0.20441543140790966,0.1178150613411547,0.11012565582072499,0.10056350257103756,0.09275470555432518,0.021888377098816584
gerard,0.014578390064272136,0.0553553281327049,0.04143399304135058,0.20441543140790966,0.0,0.06490902755455234,0.09919242621228427,0.08742728764842536,0.071079097853238,0.2099254401172348
duthil,0.006388444104081756,0.03385234607478793,0.021797499500326917,0.1178150613411547,0.06490902755455234,0.0,0.06613511870723768,0.014717527709008906,0.017680829354299606,0.10714847269737575
duvillard,0.014147775747180557,0.037967350788542714,0.03591000157306555,0.11012565582072499,0.09919242621228427,0.06613511870723768,0.0,0.09560941839227662,0.015783389032616467,0.12989745913524178
massot,0.005251623294038044,0.02643331015917872,0.02658902912672333,0.10056350257103756,0.08742728764842536,0.014717527709008906,0.09560941839227662,0.0,0.047441741777237055,0.09756104257312584
silviane,0.01015835663734711,0.02890526620420898,0.02798125108859012,0.09275470555432518,0.071079097853238,0.017680829354299606,0.015783389032616467,0.047441741777237055,0.0,0.11962862933372019
thomas,0.001691314667871136,0.004537573987683137,0.034369786680146966,0.021888377098816584,0.2099254401172348,0.10714847269737575,0.12989745913524178,0.09756104257312584,0.11962862933372019,0.0
