,pierre,benedetta,dario,nani,don vigilio,narcisse,leo xiii,victorine,donna serafina,boccanera
pierre,0.0,0.0022071482299653336,0.001762075302107897,0.0006865176651443801,0.00035330283929155856,0.00039805080924830747,0.0005787768437903298,0.000568398902097322,0.0005654638403031554,0.0004919722989879699
benedetta,0.0022071482299653336,0.0,0.0064988318842468225,0.021800325894075833,0.018436638195916503,0.027281101238793255,0.022700899822958864,0.01022358867735872,0.003395063770089913,0.018867140147696387
dario,0.001762075302107897,0.0064988318842468225,0.0,0.03355646421489784,0.0321764831195329,0.03343713186067335,0.035372427984904975,0.022786401884789666,0.010820514312396317,0.03447724936737452
nani,0.0006865176651443801,0.021800325894075833,0.03355646421489784,0.0,0.04464823907784482,0.07839520839936664,0.061298190150082726,0.051590724153724656,0.019750654349718268,0.02014239259266156
don vigilio,0.00035330283929155856,0.018436638195916503,0.0321764831195329,0.04464823907784482,0.0,0.1556254689399648,0.07048294673981806,0.035971905517289716,0.020374789507620058,0.016479068948929015
narcisse,0.00039805080924830747,0.027281101238793255,0.03343713186067335,0.07839520839936664,0.1556254689399648,0.0,0.11161585167422708,0.1381060855604862,0.07494047205060522,0.09926728411154864
leo xiii,0.0005787768437903298,0.022700899822958864,0.035372427984904975,0.061298190150082726,0.07048294673981806,0.11161585167422708,0.0,0.04270892605195848,0.046375923172340835,0.059718020938579336
victorine,0.000568398902097322,0.01022358867735872,0.022786401884789666,0.051590724153724656,0.035971905517289716,0.1381060855604862,0.04270892605195848,0.0,0.05249250079006584,0.06451032300872486
donna serafina,0.0005654638403031554,0.003395063770089913,0.010820514312396317,0.019750654349718268,0.020374789507620058,0.07494047205060522,0.046375923172340835,0.05249250079006584,0.0,0.046872677053144074
boccanera,0.0004919722989879699,0.018867140147696387,0.03447724936737452,0.02014239259266156,0.016479068948929015,0.09926728411154864,0.059718020938579336,0.06451032300872486,0.046872677053144074,0.0
