,pierre,benedetta,dario,nani,don vigilio,narcisse,leo xiii,victorine,donna serafina,boccanera
pierre,0.0,0.0021750410956587287,0.001776378504826224,0.0006933086598221851,0.00036083336017516705,0.0004007101980724794,0.0005955147304748088,0.0005845475383541552,0.000556017467143423,0.0004928486863837498
benedetta,0.0021750410956587287,0.0,0.00659176452952489,0.02205770955150565,0.018734482651339812,0.027649855104624668,0.023606138092090913,0.010855371041645029,0.003549864195589886,0.01911031498372658
dario,0.001776378504826224,0.00659176452952489,0.0,0.033946478210488976,0.03265828782522132,0.03387880224495364,0.03685438376022095,0.02392604528197603,0.011286897853923464,0.03500631574055129
nani,0.0006933086598221851,0.02205770955150565,0.033946478210488976,0.0,0.04519860635098078,0.080954725986577,0.06299983483270118,0.05329711803464572,0.019793655279555213,0.02055802507679122
don vigilio,0.00036083336017516705,0.018734482651339812,0.03265828782522132,0.04519860635098078,0.0,0.15835839758840908,0.07132371477108125,0.03686536513829436,0.02042641031773896,0.016686273526134037
narcisse,0.0004007101980724794,0.027649855104624668,0.03387880224495364,0.080954725986577,0.15835839758840908,0.0,0.11540451289618195,0.14243239569513524,0.07572458790777786,0.10097893854927605
leo xiii,0.0005955147304748088,0.023606138092090913,0.03685438376022095,0.06299983483270118,0.07132371477108125,0.11540451289618195,0.0,0.04386352353443717,0.046139098288016,0.05979440893898615
victorine,0.0005845475383541552,0.010855371041645029,0.02392604528197603,0.05329711803464572,0.03686536513829436,0.14243239569513524,0.04386352353443717,0.0,0.052943154566321135,0.06465207278613948
donna serafina,0.000556017467143423,0.003549864195589886,0.011286897853923464,0.019793655279555213,0.02042641031773896,0.07572458790777786,0.046139098288016,0.052943154566321135,0.0,0.046915683112579536
boccanera,0.0004928486863837498,0.01911031498372658,0.03500631574055129,0.02055802507679122,0.016686273526134037,0.10097893854927605,0.05979440893898615,0.06465207278613948,0.046915683112579536,0.0
