,therese,laurent,camille,madame raquin,raquin,michaud,grivet,olivier,suzanne,francois
therese,0.0,0.024317148683865454,0.0037386144900644234,0.0009618728245486103,0.0008618264609496211,0.0015735041940170226,0.0025036800148710114,0.00178560336325175,0.0008284179155982679,0.001669311147299888
laurent,0.024317148683865454,0.0,0.012559045635366665,0.0021402478848095764,0.0069040891507856795,0.0020760376228232554,0.0027837908604874716,0.002166778140296542,0.0020184221007205675,0.0010338880624234206
camille,0.0037386144900644234,0.012559045635366665,0.0,0.004632208543934445,0.002604882946291214,0.007168163025019298,0.007533799219913778,0.005127836314357109,0.005905246092610008,0.0007479041940403412
madame raquin,0.0009618728245486103,0.0021402478848095764,0.004632208543934445,0.0,0.024073033708025292,0.02260818589339959,0.01009946542574018,0.007720981722808278,0.004236925523404943,0.019390556218702545
raquin,0.0008618264609496211,0.0069040891507856795,0.002604882946291214,0.024073033708025292,0.0,0.09594750586481161,0.020255627225260843,0.026308216140860666,0.02216209312245984,0.011004452293518655
michaud,0.0015735041940170226,0.0020760376228232554,0.007168163025019298,0.02260818589339959,0.09594750586481161,0.0,0.06733926841459008,0.006888170099615434,0.009873899378281294,0.0387291548697597
grivet,0.0025036800148710114,0.0027837908604874716,0.007533799219913778,0.01009946542574018,0.020255627225260843,0.06733926841459008,0.0,0.025238122204937766,0.02613720450406074,0.033472131032689534
olivier,0.00178560336325175,0.002166778140296542,0.005127836314357109,0.007720981722808278,0.026308216140860666,0.006888170099615434,0.025238122204937766,0.0,0.012656173387391455,0.03381980021421059
suzanne,0.0008284179155982679,0.0020184221007205675,0.005905246092610008,0.004236925523404943,0.02216209312245984,0.009873899378281294,0.02613720450406074,0.012656173387391455,0.0,0.03258931507651915
francois,0.001669311147299888,0.0010338880624234206,0.0007479041940403412,0.019390556218702545,0.011004452293518655,0.0387291548697597,0.033472131032689534,0.03381980021421059,0.03258931507651915,0.0
