,therese,laurent,camille,madame raquin,raquin,michaud,grivet,olivier,suzanne,francois
therese,0.0,0.024753243235101145,0.003603793645848266,0.0009697917303652874,0.0008042560658884297,0.0015790202497130317,0.002553260363537651,0.0017403550322785052,0.0008508253178872141,0.0017988669609002202
laurent,0.024753243235101145,0.0,0.01127355386243163,0.0020198984660745795,0.005633622368723316,0.002036932381336989,0.0027473510674553884,0.0020436981446254965,0.0020929684037259474,0.0010105188528469606
camille,0.003603793645848266,0.01127355386243163,0.0,0.004938663992475499,0.0026675063984656785,0.007568173547289181,0.008389020862221984,0.005294613835250063,0.006323674015829324,0.0008213284679227435
madame raquin,0.0009697917303652874,0.0020198984660745795,0.004938663992475499,0.0,0.02250337741350466,0.02381781734742697,0.010717916902158623,0.007853612133846057,0.004615023888171388,0.02131801934784218
raquin,0.0008042560658884297,0.005633622368723316,0.0026675063984656785,0.02250337741350466,0.0,0.10328967000058138,0.021352675311532912,0.02605787468097673,0.02262255395945183,0.011800129290679159
michaud,0.0015790202497130317,0.002036932381336989,0.007568173547289181,0.02381781734742697,0.10328967000058138,0.0,0.0713744494899513,0.0071139649813050125,0.011026309988897021,0.04280698109641543
grivet,0.002553260363537651,0.0027473510674553884,0.008389020862221984,0.010717916902158623,0.021352675311532912,0.0713744494899513,0.0,0.025802421623997443,0.02776201490420105,0.03713006544207188
olivier,0.0017403550322785052,0.0020436981446254965,0.005294613835250063,0.007853612133846057,0.02605787468097673,0.0071139649813050125,0.025802421623997443,0.0,0.014019936025115453,0.036782639993301794
suzanne,0.0008508253178872141,0.0020929684037259474,0.006323674015829324,0.004615023888171388,0.02262255395945183,0.011026309988897021,0.02776201490420105,0.014019936025115453,0.0,0.03471634068169334
francois,0.0017988669609002202,0.0010105188528469606,0.0008213284679227435,0.02131801934784218,0.011800129290679159,0.04280698109641543,0.03713006544207188,0.036782639993301794,0.03471634068169334,0.0
