,marc,simon,louise,geneviève,gorgias,david,mignot,crabot,delbos,philibin
marc,0.0,0.0020399363698908406,0.0007927719540659091,0.00047853404946857455,0.0023913637184042554,0.0011143448014646854,0.0004002597214192713,0.0011347673544908502,0.0011316648977311413,0.0013408666778981994
simon,0.0020399363698908406,0.0,0.02011787905268545,0.019668176166715973,0.00514638687203592,0.0020623528084898184,0.0040961533196255786,0.002578441601846545,0.0010850869780519856,0.002592963592510838
louise,0.0007927719540659091,0.02011787905268545,0.0,0.04950359053694981,0.03412508848023542,0.05371813538896934,0.04451545929467173,0.03225637329836237,0.034432251819136096,0.056953295132959145
geneviève,0.00047853404946857455,0.019668176166715973,0.04950359053694981,0.0,0.050539690439345336,0.042060458078731947,0.01866158399237167,0.022623183094297044,0.03669875744229108,0.027010853833270898
gorgias,0.0023913637184042554,0.00514638687203592,0.03412508848023542,0.050539690439345336,0.0,0.15935884932210045,0.11209563441761906,0.033234477085712685,0.021571917436080834,0.11684314050436374
david,0.0011143448014646854,0.0020623528084898184,0.05371813538896934,0.042060458078731947,0.15935884932210045,0.0,0.0465238243785759,0.01258452579324385,0.02931355664129899,0.023155983617342033
mignot,0.0004002597214192713,0.0040961533196255786,0.04451545929467173,0.01866158399237167,0.11209563441761906,0.0465238243785759,0.0,0.05161701059568829,0.0679164709769434,0.04608492066736013
crabot,0.0011347673544908502,0.002578441601846545,0.03225637329836237,0.022623183094297044,0.033234477085712685,0.01258452579324385,0.05161701059568829,0.0,0.05112986756323109,0.08359110824628022
delbos,0.0011316648977311413,0.0010850869780519856,0.034432251819136096,0.03669875744229108,0.021571917436080834,0.02931355664129899,0.0679164709769434,0.05112986756323109,0.0,0.1862099402075153
philibin,0.0013408666778981994,0.002592963592510838,0.056953295132959145,0.027010853833270898,0.11684314050436374,0.023155983617342033,0.04608492066736013,0.08359110824628022,0.1862099402075153,0.0
