,raskolnikov,sonia,dounia,razumihin,katerina ivanovna,svidrigaïlov,pyotr petrovitch,pulcheria alexandrovna,porfiry,avdotya romanovna
raskolnikov,0.0,0.02263863458749518,0.01712538823081941,0.004297630635689433,0.020120540007952117,0.011670739698543018,0.012094715053875655,0.00805870040120007,0.0006300111708891666,0.007231262386063762
sonia,0.02263863458749518,0.0,0.12887299868779262,0.15813643591828075,0.01646513783929638,0.044055408020455065,0.036838250478806574,0.059902655254009236,0.023048497013377012,0.042085135978186555
dounia,0.01712538823081941,0.12887299868779262,0.0,0.11765939746939416,0.09166948676670975,0.046926314871879454,0.05741066331819733,0.002488021872304197,0.03758421960422787,0.005605763926496959
razumihin,0.004297630635689433,0.15813643591828075,0.11765939746939416,0.0,0.11318635634752136,0.17108232186542707,0.0642370070963572,0.004448832605594269,0.019596874079806544,0.007238910263596716
katerina ivanovna,0.020120540007952117,0.01646513783929638,0.09166948676670975,0.11318635634752136,0.0,0.11932132723810764,0.030699832597156067,0.0938041764600637,0.05100580915235729,0.05495920349611612
svidrigaïlov,0.011670739698543018,0.044055408020455065,0.046926314871879454,0.17108232186542707,0.11932132723810764,0.0,0.22736341075450445,0.22608935358050805,0.112075226479868,0.12552073190002686
pyotr petrovitch,0.012094715053875655,0.036838250478806574,0.05741066331819733,0.0642370070963572,0.030699832597156067,0.22736341075450445,0.0,0.09393902038048543,0.04775112564347015,0.061158584112276614
pulcheria alexandrovna,0.00805870040120007,0.059902655254009236,0.002488021872304197,0.004448832605594269,0.0938041764600637,0.22608935358050805,0.09393902038048543,0.0,0.12153657446104467,0.03567728332749568
porfiry,0.0006300111708891666,0.023048497013377012,0.03758421960422787,0.019596874079806544,0.05100580915235729,0.112075226479868,0.04775112564347015,0.12153657446104467,0.0,0.07693187132014098
avdotya romanovna,0.007231262386063762,0.042085135978186555,0.005605763926496959,0.007238910263596716,0.05495920349611612,0.12552073190002686,0.061158584112276614,0.03567728332749568,0.07693187132014098,0.0
