,raskolnikov,sonia,dounia,razumihin,katerina ivanovna,svidrigaïlov,pyotr petrovitch,pulcheria alexandrovna,porfiry,avdotya romanovna
raskolnikov,0.0,0.0256163491094779,0.016494057814266955,0.004435817374518227,0.021934537309537882,0.01369906273728458,0.013004902684485231,0.008398903529692347,0.0007047358169429541,0.0077626342493655786
sonia,0.0256163491094779,0.0,0.13361283456859868,0.16586954126963097,0.01720025473206753,0.05103212617491042,0.038680075565355944,0.06376354373518815,0.025439958644970666,0.04562434932092695
dounia,0.016494057814266955,0.13361283456859868,0.0,0.12128031334713645,0.10117987183365035,0.054110821265510436,0.06370166859063744,0.002578049210801944,0.04155791621150088,0.006056082371591325
razumihin,0.004435817374518227,0.16586954126963097,0.12128031334713645,0.0,0.12049900013568936,0.19108162882723434,0.07065670877225277,0.004743914785459066,0.02196830982062711,0.0080978859136519
katerina ivanovna,0.021934537309537882,0.01720025473206753,0.10117987183365035,0.12049900013568936,0.0,0.13646503048418107,0.03187427688124015,0.10166556973011716,0.05622498992255287,0.05973470606770064
svidrigaïlov,0.01369906273728458,0.05103212617491042,0.054110821265510436,0.19108162882723434,0.13646503048418107,0.0,0.2535823927797006,0.24599847366159971,0.12592210155743105,0.13483757699403776
pyotr petrovitch,0.013004902684485231,0.038680075565355944,0.06370166859063744,0.07065670877225277,0.03187427688124015,0.2535823927797006,0.0,0.10106046073097903,0.05326469112390557,0.06658239276888217
pulcheria alexandrovna,0.008398903529692347,0.06376354373518815,0.002578049210801944,0.004743914785459066,0.10166556973011716,0.24599847366159971,0.10106046073097903,0.0,0.1327180881098803,0.039617483214090164
porfiry,0.0007047358169429541,0.025439958644970666,0.04155791621150088,0.02196830982062711,0.05622498992255287,0.12592210155743105,0.05326469112390557,0.1327180881098803,0.0,0.08346925483998731
avdotya romanovna,0.0077626342493655786,0.04562434932092695,0.006056082371591325,0.0080978859136519,0.05973470606770064,0.13483757699403776,0.06658239276888217,0.039617483214090164,0.08346925483998731,0.0
