,aglaya,lebedeff,rogojin,hippolyte,nastasia philipovna,epanchin,colia,lizabetha prokofievna,evgenie pavlovitch,nastasia
aglaya,0.0,0.1053971533528922,0.07948749310656268,0.02563480970862571,0.05965098378941951,0.017638426248002635,0.018193039053660272,0.013913597457257483,0.013277915507058037,0.028029641367792957
lebedeff,0.1053971533528922,0.0,0.06399782477327892,0.012792006828063363,0.0764517544811647,0.04673125990419223,0.014341457381516072,0.020719962319833224,0.026322151278111994,0.04165026330909887
rogojin,0.07948749310656268,0.06399782477327892,0.0,0.0899144079236697,0.03540122870498064,0.04808891750308127,0.03830286086681013,0.09559767070876446,0.07569234910834022,0.012526128845756249
hippolyte,0.02563480970862571,0.012792006828063363,0.0899144079236697,0.0,0.2237886874872149,0.21575856920322045,0.062083813852265975,0.03391467560541731,0.024990589171313558,0.131448554434437
nastasia philipovna,0.05965098378941951,0.0764517544811647,0.03540122870498064,0.2237886874872149,0.0,0.07291293907584397,0.10652440283363503,0.16552821508360685,0.165252745648646,0.012813650362482573
epanchin,0.017638426248002635,0.04673125990419223,0.04808891750308127,0.21575856920322045,0.07291293907584397,0.0,0.1188925334981697,0.16773636495570282,0.18954696196122867,0.09350933554466338
colia,0.018193039053660272,0.014341457381516072,0.03830286086681013,0.062083813852265975,0.10652440283363503,0.1188925334981697,0.0,0.07621861492680407,0.11770860611656991,0.08685841968117917
lizabetha prokofievna,0.013913597457257483,0.020719962319833224,0.09559767070876446,0.03391467560541731,0.16552821508360685,0.16773636495570282,0.07621861492680407,0.0,0.04649836968833382,0.15061770996640284
evgenie pavlovitch,0.013277915507058037,0.026322151278111994,0.07569234910834022,0.024990589171313558,0.165252745648646,0.18954696196122867,0.11770860611656991,0.04649836968833382,0.0,0.1635023617546503
nastasia,0.028029641367792957,0.04165026330909887,0.012526128845756249,0.131448554434437,0.012813650362482573,0.09350933554466338,0.08685841968117917,0.15061770996640284,0.1635023617546503,0.0
