,aglaya,lebedeff,rogojin,hippolyte,nastasia philipovna,epanchin,colia,lizabetha prokofievna,evgenie pavlovitch,nastasia
aglaya,0.0,0.10054743060414484,0.07803613010677608,0.024392111600597375,0.06142723611435593,0.018569744809646144,0.018087854297494228,0.013376852224517516,0.012587559726863764,0.028673541450491783
lebedeff,0.10054743060414484,0.0,0.06271288577635012,0.012054651427357973,0.07803798318671176,0.048374018269688596,0.01421659047570519,0.019563643129633417,0.02484103149032768,0.04246437131336707
rogojin,0.07803613010677608,0.06271288577635012,0.0,0.08463055887137194,0.03643612528706081,0.04897928708979572,0.03636832335356077,0.09029088863113079,0.07204635302667958,0.012844973250708271
hippolyte,0.024392111600597375,0.012054651427357973,0.08463055887137194,0.0,0.2225538501232241,0.2147629065772925,0.060694779621167455,0.03215459207394643,0.023663186989532334,0.13019943383066937
nastasia philipovna,0.06142723611435593,0.07803798318671176,0.03643612528706081,0.2225538501232241,0.0,0.0735314831044268,0.10338807412179904,0.1620716057308356,0.1622846380778202,0.012398586663940432
epanchin,0.018569744809646144,0.048374018269688596,0.04897928708979572,0.2147629065772925,0.0735314831044268,0.0,0.11728130337113238,0.1650445820224234,0.1858682344152051,0.09058868388202591
colia,0.018087854297494228,0.01421659047570519,0.03636832335356077,0.060694779621167455,0.10338807412179904,0.11728130337113238,0.0,0.07418707308300447,0.11356626680236663,0.08538675723792778
lizabetha prokofievna,0.013376852224517516,0.019563643129633417,0.09029088863113079,0.03215459207394643,0.1620716057308356,0.1650445820224234,0.07418707308300447,0.0,0.04392053189812316,0.1482345194107695
evgenie pavlovitch,0.012587559726863764,0.02484103149032768,0.07204635302667958,0.023663186989532334,0.1622846380778202,0.1858682344152051,0.11356626680236663,0.04392053189812316,0.0,0.16103179243194085
nastasia,0.028673541450491783,0.04246437131336707,0.012844973250708271,0.13019943383066937,0.012398586663940432,0.09058868388202591,0.08538675723792778,0.1482345194107695,0.16103179243194085,0.0
