,zverkov,simonov,liza,ferfitchkin,trudolyubov,anton antonitch,heine,olympia,stenka razins,shakespeare
zverkov,0.0,0.024233549122796284,0.26771848766102013,0.0019392882845469988,0.00160990404434295,0.021539640452721803,0.16454948162891894,0.0005112437272825854,0.2881791482617109,0.0010791291873348816
simonov,0.024233549122796284,0.0,0.2542358526525247,0.00799437552058032,0.004899516191532158,0.01370102062824983,0.15363397022645253,0.004657654186694225,0.2768128326294108,0.00694283964546383
liza,0.26771848766102013,0.2542358526525247,0.0,0.25966090834820976,0.2487038784850525,0.18439913034627217,0.40481693279348,0.07784138043199433,0.5209332540403941,0.09044112087733132
ferfitchkin,0.0019392882845469988,0.00799437552058032,0.25966090834820976,0.0,0.0031038937813421693,0.05575353594057439,0.18273758790442957,0.0035694705099895817,0.3046255931136276,0.005862862041818305
trudolyubov,0.00160990404434295,0.004899516191532158,0.2487038784850525,0.0031038937813421693,0.0,0.05997459219059801,0.18162893892508644,0.003266511976915832,0.3050632905982623,0.007208207544929677
anton antonitch,0.021539640452721803,0.01370102062824983,0.18439913034627217,0.05575353594057439,0.05997459219059801,0.0,0.12063665601048859,0.09382878046183282,0.2335703976059098,0.07767695819310028
heine,0.16454948162891894,0.15363397022645253,0.40481693279348,0.18273758790442957,0.18162893892508644,0.12063665601048859,0.0,0.3265133501260803,0.1241465615513839,0.3048346946965802
olympia,0.0005112437272825854,0.004657654186694225,0.07784138043199433,0.0035694705099895817,0.003266511976915832,0.09382878046183282,0.3265133501260803,0.0,0.44843627441546585,0.01845704302629532
stenka razins,0.2881791482617109,0.2768128326294108,0.5209332540403941,0.3046255931136276,0.3050632905982623,0.2335703976059098,0.1241465615513839,0.44843627441546585,0.0,0.4297832216612642
shakespeare,0.0010791291873348816,0.00694283964546383,0.09044112087733132,0.005862862041818305,0.007208207544929677,0.07767695819310028,0.3048346946965802,0.01845704302629532,0.4297832216612642,0.0
