,barbara,makar alexievitch,pokrovski,barbara alexievna,thedora,makar dievushkin,anna thedorovna,bwikov,rataziaev,anna
barbara,0.0,0.051244865040784696,0.1729397349874223,0.022917352612584842,0.01716856360327361,0.011473516205547866,0.06800929904623998,0.10572725525972124,0.005477635725016258,0.13833723796952357
makar alexievitch,0.051244865040784696,0.0,0.185315375433987,0.012417074064529441,0.006925908363958695,0.0032350667562360963,0.05463954033044355,0.04572267470217071,0.02581031850592721,0.11428300164222849
pokrovski,0.1729397349874223,0.185315375433987,0.0,0.2781688022737802,0.34740510645175066,0.32559849772157107,0.07657864255376799,0.3763978922763696,0.25641014729016465,0.029433087506781346
barbara alexievna,0.022917352612584842,0.012417074064529441,0.2781688022737802,0.0,0.04533358393013175,0.01417697829983734,0.10555636506001881,0.11212330197893104,0.07696613840918719,0.1834721120635694
thedora,0.01716856360327361,0.006925908363958695,0.34740510645175066,0.04533358393013175,0.0,0.018071873323118378,0.16690512236966246,0.1117153597741141,0.10214877048457775,0.3110065824080379
makar dievushkin,0.011473516205547866,0.0032350667562360963,0.32559849772157107,0.01417697829983734,0.018071873323118378,0.0,0.18337974101902252,0.119831237095408,0.11816877183692549,0.30261987076382985
anna thedorovna,0.06800929904623998,0.05463954033044355,0.07657864255376799,0.10555636506001881,0.16690512236966246,0.18337974101902252,0.0,0.30745214819390143,0.1339187366541275,0.10394802658314747
bwikov,0.10572725525972124,0.04572267470217071,0.3763978922763696,0.11212330197893104,0.1117153597741141,0.119831237095408,0.30745214819390143,0.0,0.24362466551798775,0.4781962629532673
rataziaev,0.005477635725016258,0.02581031850592721,0.25641014729016465,0.07696613840918719,0.10214877048457775,0.11816877183692549,0.1339187366541275,0.24362466551798775,0.0,0.3501402926931326
anna,0.13833723796952357,0.11428300164222849,0.029433087506781346,0.1834721120635694,0.3110065824080379,0.30261987076382985,0.10394802658314747,0.4781962629532673,0.3501402926931326,0.0
