,alyosha,mitya,ivan,smerdyakov,fyodor pavlovitch,grushenka,katerina ivanovna,dmitri,rakitin,dmitri fyodorovitch
alyosha,0.0,0.0949416258999842,0.013988677938763622,0.015013457520008489,0.011763118082020262,0.01803476474643911,0.001309617351838805,0.0009037552274374538,0.0012887579889732017,0.022024666363946066
mitya,0.0949416258999842,0.0,0.12525089427168648,0.02801600405598835,0.11538048446190535,0.006105238046826117,0.03988616184011966,0.0975143004629975,0.011481923164091041,0.006934372945031013
ivan,0.013988677938763622,0.12525089427168648,0.0,0.014121414924274866,0.038594720165430925,0.07653399808322847,0.008628383306317898,0.002833901524837785,0.042866953030445444,0.05689962275787971
smerdyakov,0.015013457520008489,0.02801600405598835,0.014121414924274866,0.0,0.2872854640588241,0.1116386715473465,0.05943319009865321,0.19334288928999233,0.0721138007092844,0.0613204720414861
fyodor pavlovitch,0.011763118082020262,0.11538048446190535,0.038594720165430925,0.2872854640588241,0.0,0.19350441494640416,0.05376321171850417,0.03247036658357723,0.07358706061236067,0.060298387997044005
grushenka,0.01803476474643911,0.006105238046826117,0.07653399808322847,0.1116386715473465,0.19350441494640416,0.0,0.07342578010600077,0.16113629928973805,0.022705598718586996,0.02371538304661576
katerina ivanovna,0.001309617351838805,0.03988616184011966,0.008628383306317898,0.05943319009865321,0.05376321171850417,0.07342578010600077,0.0,0.1271565425869195,0.10301256398870032,0.11669665220298056
dmitri,0.0009037552274374538,0.0975143004629975,0.002833901524837785,0.19334288928999233,0.03247036658357723,0.16113629928973805,0.1271565425869195,0.0,0.18572402952314984,0.16315369151816408
rakitin,0.0012887579889732017,0.011481923164091041,0.042866953030445444,0.0721138007092844,0.07358706061236067,0.022705598718586996,0.10301256398870032,0.18572402952314984,0.0,0.06733742127915646
dmitri fyodorovitch,0.022024666363946066,0.006934372945031013,0.05689962275787971,0.0613204720414861,0.060298387997044005,0.02371538304661576,0.11669665220298056,0.16315369151816408,0.06733742127915646,0.0
