,alyosha,mitya,ivan,smerdyakov,fyodor pavlovitch,grushenka,katerina ivanovna,dmitri,rakitin,dmitri fyodorovitch
alyosha,0.0,0.10078226997084432,0.015192455929567712,0.017212075760348763,0.010278955594566666,0.01956059567752649,0.0014062612476956017,0.0007871375064184718,0.001385232217865245,0.02379266356233057
mitya,0.10078226997084432,0.0,0.1289796067581557,0.030448357955805208,0.1057597459207903,0.0059735405329031845,0.03673520121676899,0.09171288852057852,0.011817731557615193,0.006858785970377973
ivan,0.015192455929567712,0.1289796067581557,0.0,0.01618764332572523,0.033847531731655736,0.08300272337171352,0.008861637137784735,0.002615322319855972,0.04428818350011314,0.061003675589903786
smerdyakov,0.017212075760348763,0.030448357955805208,0.01618764332572523,0.0,0.28430280326690804,0.12207570959202102,0.059436878680192505,0.18888231033197317,0.07366857116951689,0.06492283188999902
fyodor pavlovitch,0.010278955594566666,0.1057597459207903,0.033847531731655736,0.28430280326690804,0.0,0.18512594715202765,0.05444003074528385,0.03006176455889145,0.07618267165896572,0.06343920489237112
grushenka,0.01956059567752649,0.0059735405329031845,0.08300272337171352,0.12207570959202102,0.18512594715202765,0.0,0.07456637418836155,0.15360877212637583,0.023650951681131606,0.024182817710452904
katerina ivanovna,0.0014062612476956017,0.03673520121676899,0.008861637137784735,0.059436878680192505,0.05444003074528385,0.07456637418836155,0.0,0.12363535331750344,0.10686830776491589,0.1231026824269422
dmitri,0.0007871375064184718,0.09171288852057852,0.002615322319855972,0.18888231033197317,0.03006176455889145,0.15360877212637583,0.12363535331750344,0.0,0.18539503750008066,0.16345067351856887
rakitin,0.001385232217865245,0.011817731557615193,0.04428818350011314,0.07366857116951689,0.07618267165896572,0.023650951681131606,0.10686830776491589,0.18539503750008066,0.0,0.0710346763871686
dmitri fyodorovitch,0.02379266356233057,0.006858785970377973,0.061003675589903786,0.06492283188999902,0.06343920489237112,0.024182817710452904,0.1231026824269422,0.16345067351856887,0.0710346763871686,0.0
