,polina,astley,de griers,alexis ivanovitch,potapitch,blanche,martha,polina alexandrovna,marquis,baroness
polina,0.0,0.013316352538991333,0.015899166948164376,0.016384448269736594,0.02200002945157357,0.027186744025778087,0.011235568029639697,0.0067352058215500304,0.002711649499035126,0.025117541129388486
astley,0.013316352538991333,0.0,0.05768730161308031,0.03791290343184852,0.06685384637392588,0.025148509907885086,0.02624508105968933,0.016584256989917726,0.006885058170855049,0.05569943986780426
de griers,0.015899166948164376,0.05768730161308031,0.0,0.008253117889222302,0.016777428285149713,0.060732608716394444,0.0027660411435931754,0.10169369687086735,0.10068288794610998,0.032512086302395354
alexis ivanovitch,0.016384448269736594,0.03791290343184852,0.008253117889222302,0.0,0.030922473575914388,0.2653337974934099,0.0045826965757026356,0.16026087696768335,0.20565477442274807,0.10242342377025793
potapitch,0.02200002945157357,0.06685384637392588,0.016777428285149713,0.030922473575914388,0.0,0.2754532836350443,0.0070254832291124164,0.23264422055805778,0.2888153370282589,0.1950566141763413
blanche,0.027186744025778087,0.025148509907885086,0.060732608716394444,0.2653337974934099,0.2754532836350443,0.0,0.23247352037356844,0.1772867672764916,0.22756624458761923,0.24105681071001836
martha,0.011235568029639697,0.02624508105968933,0.0027660411435931754,0.0045826965757026356,0.0070254832291124164,0.23247352037356844,0.0,0.27262827037199633,0.34677896827058846,0.2498502639986668
polina alexandrovna,0.0067352058215500304,0.016584256989917726,0.10169369687086735,0.16026087696768335,0.23264422055805778,0.1772867672764916,0.27262827037199633,0.0,0.0725357505401585,0.1522936435746754
marquis,0.002711649499035126,0.006885058170855049,0.10068288794610998,0.20565477442274807,0.2888153370282589,0.22756624458761923,0.34677896827058846,0.0725357505401585,0.0,0.0889138556597327
baroness,0.025117541129388486,0.05569943986780426,0.032512086302395354,0.10242342377025793,0.1950566141763413,0.24105681071001836,0.2498502639986668,0.1522936435746754,0.0889138556597327,0.0
