,polina,astley,de griers,alexis ivanovitch,potapitch,blanche,martha,polina alexandrovna,marquis,baroness
polina,0.0,0.013993430526191179,0.016555692047531306,0.016877751632885706,0.02284313829471092,0.02891821411166458,0.011671153551057393,0.005714787173835654,0.002457586970861831,0.024142939956604572
astley,0.013993430526191179,0.0,0.06082171027182223,0.03946090413932167,0.07009841914622146,0.026816505171208028,0.027189792958074964,0.014195845406001804,0.006027322842053886,0.05392038339471237
de griers,0.016555692047531306,0.06082171027182223,0.0,0.008427758947411747,0.01743196600292436,0.06323759566321566,0.002868105694038272,0.09303410505634628,0.0931864546827345,0.03141294438295028
alexis ivanovitch,0.016877751632885706,0.03946090413932167,0.008427758947411747,0.0,0.03182675545359765,0.27674569152858336,0.004730714041043912,0.15009919852876785,0.1957285529668782,0.10034000182258446
potapitch,0.02284313829471092,0.07009841914622146,0.01743196600292436,0.03182675545359765,0.0,0.2875246301082412,0.007312998473622719,0.2226649786311509,0.27930835487935907,0.19312818058025763
blanche,0.02891821411166458,0.026816505171208028,0.06323759566321566,0.27674569152858336,0.2875246301082412,0.0,0.24589270358559331,0.1731243056452524,0.22256631195629972,0.2349601565528196
martha,0.011671153551057393,0.027189792958074964,0.002868105694038272,0.004730714041043912,0.007312998473622719,0.24589270358559331,0.0,0.26345050683711807,0.33848328264587085,0.24908732436576164
polina alexandrovna,0.005714787173835654,0.014195845406001804,0.09303410505634628,0.15009919852876785,0.2226649786311509,0.1731243056452524,0.26345050683711807,0.0,0.0669272421466773,0.14360658445507216
marquis,0.002457586970861831,0.006027322842053886,0.0931864546827345,0.1957285529668782,0.27930835487935907,0.22256631195629972,0.33848328264587085,0.0669272421466773,0.0,0.08240573695144929
baroness,0.024142939956604572,0.05392038339471237,0.03141294438295028,0.10034000182258446,0.19312818058025763,0.2349601565528196,0.24908732436576164,0.14360658445507216,0.08240573695144929,0.0
