,stepan trofimovitch,pyotr stepanovitch,varvara petrovna,shatov,nikolay vsyevolodovitch,kirillov,yulia mihailovna,liputin,stavrogin,liza
stepan trofimovitch,0.0,0.23224616784217592,0.03497955743669219,0.052903243868799174,0.10800459540225908,0.04115933740050957,0.03891800548878403,0.019880556273251394,0.041871732170286655,0.024389626780763403
pyotr stepanovitch,0.23224616784217592,0.0,0.29898359644906347,0.04969936462975027,0.14406489889136884,0.008252284050398153,0.022204567173396056,0.037946080170352316,0.013354637686806486,0.04222076370765168
varvara petrovna,0.03497955743669219,0.29898359644906347,0.0,0.15524273332212185,0.08285700006606382,0.18680831004877765,0.17776415613259444,0.07166627483902206,0.12019487127035691,0.03613628945756327
shatov,0.052903243868799174,0.04969936462975027,0.15524273332212185,0.0,0.15092798747250086,0.02450859301600513,0.08727094701898516,0.02879395127319619,0.05183161558164503,0.027281455970596474
nikolay vsyevolodovitch,0.10800459540225908,0.14406489889136884,0.08285700006606382,0.15092798747250086,0.0,0.19733997846059168,0.1454739000862937,0.12357860076887622,0.1156499960001656,0.07869116232380123
kirillov,0.04115933740050957,0.008252284050398153,0.18680831004877765,0.02450859301600513,0.19733997846059168,0.0,0.0906229620347731,0.08828301571863938,0.0526364397389394,0.09535190637860333
yulia mihailovna,0.03891800548878403,0.022204567173396056,0.17776415613259444,0.08727094701898516,0.1454739000862937,0.0906229620347731,0.0,0.15519612788804443,0.04780910153404286,0.11814638505900311
liputin,0.019880556273251394,0.037946080170352316,0.07166627483902206,0.02879395127319619,0.12357860076887622,0.08828301571863938,0.15519612788804443,0.0,0.1156230930116028,0.04294907678330641
stavrogin,0.041871732170286655,0.013354637686806486,0.12019487127035691,0.05183161558164503,0.1156499960001656,0.0526364397389394,0.04780910153404286,0.1156230930116028,0.0,0.12405757852898286
liza,0.024389626780763403,0.04222076370765168,0.03613628945756327,0.027281455970596474,0.07869116232380123,0.09535190637860333,0.11814638505900311,0.04294907678330641,0.12405757852898286,0.0
