,stepan trofimovitch,pyotr stepanovitch,varvara petrovna,shatov,nikolay vsyevolodovitch,kirillov,yulia mihailovna,liputin,stavrogin,liza
stepan trofimovitch,0.0,0.2326919028117461,0.03308675844392297,0.05768559032843183,0.10935579236885976,0.04615722436784125,0.044149605003263225,0.02240905555938692,0.04641757702899025,0.025364396620912593
pyotr stepanovitch,0.2326919028117461,0.0,0.29547013286036683,0.05013929310671801,0.14683153220399672,0.008645113804593707,0.02480212800400934,0.034349359795661075,0.013636633229264727,0.03970984578337254
varvara petrovna,0.03308675844392297,0.29547013286036683,0.0,0.1619290664517957,0.08070812531609452,0.19825567315244874,0.18928140945620076,0.07621359731947351,0.12901309796100474,0.039520967799838665
shatov,0.05768559032843183,0.05013929310671801,0.1619290664517957,0.0,0.15928022565893007,0.02736068251380649,0.09780318761392093,0.02850481492779748,0.05788959007969608,0.028085974840093827
nikolay vsyevolodovitch,0.10935579236885976,0.14683153220399672,0.08070812531609452,0.15928022565893007,0.0,0.2147664098995724,0.15535937845063696,0.12844312087675652,0.12380899334554268,0.08122255921412704
kirillov,0.04615722436784125,0.008645113804593707,0.19825567315244874,0.02736068251380649,0.2147664098995724,0.0,0.10192500029772575,0.08673291270228956,0.05738475346985683,0.09558652795410387
yulia mihailovna,0.044149605003263225,0.02480212800400934,0.18928140945620076,0.09780318761392093,0.15535937845063696,0.10192500029772575,0.0,0.15729269405164595,0.051294865397579444,0.1180125379099703
liputin,0.02240905555938692,0.034349359795661075,0.07621359731947351,0.02850481492779748,0.12844312087675652,0.08673291270228956,0.15729269405164595,0.0,0.1199273752123488,0.04144013813658865
stavrogin,0.04641757702899025,0.013636633229264727,0.12901309796100474,0.05788959007969608,0.12380899334554268,0.05738475346985683,0.051294865397579444,0.1199273752123488,0.0,0.12487152047747221
liza,0.025364396620912593,0.03970984578337254,0.039520967799838665,0.028085974840093827,0.08122255921412704,0.09558652795410387,0.1180125379099703,0.04144013813658865,0.12487152047747221,0.0
