,velchaninoff,pavel pavlovitch,zina,maria alexandrovna,liza,mosgliakoff,pavel,alexey ivanovitch,paul,prince
velchaninoff,0.0,0.0027403255142397958,0.41238788341082955,0.41870426538146843,0.0015441479958968423,0.2454247842116158,0.0009376902851094328,0.0008848649160029413,0.2865979578351459,0.22459503277062579
pavel pavlovitch,0.0027403255142397958,0.0,0.49421126506644775,0.4985344384468434,0.005981849006980052,0.3148075424823785,0.0012979377733775004,0.0009361892482193736,0.3512753060542845,0.2877597120785441
zina,0.41238788341082955,0.49421126506644775,0.0,0.02683011099204864,0.23935791819685864,0.00372934985976481,0.39081893292229225,0.2795095258245612,0.0034510174445129024,0.00313252266966409
maria alexandrovna,0.41870426538146843,0.4985344384468434,0.02683011099204864,0.0,0.28636889350578276,0.0017346758012932353,0.435276648668805,0.32085500629446506,0.0014813057820608757,0.0025753859485111723
liza,0.0015441479958968423,0.005981849006980052,0.23935791819685864,0.28636889350578276,0.0,0.3733176532976951,0.1393359953820473,0.04219906166235413,0.40416444444347993,0.33610383077598943
mosgliakoff,0.2454247842116158,0.3148075424823785,0.00372934985976481,0.0017346758012932353,0.3733176532976951,0.0,0.559670569718541,0.4092795253436065,0.01417025985923946,0.014720044250834369
pavel,0.0009376902851094328,0.0012979377733775004,0.39081893292229225,0.435276648668805,0.1393359953820473,0.559670569718541,0.0,0.07870701609404615,0.5866781209629355,0.511818267200107
alexey ivanovitch,0.0008848649160029413,0.0009361892482193736,0.2795095258245612,0.32085500629446506,0.04219906166235413,0.4092795253436065,0.07870701609404615,0.0,0.4970875859107003,0.4069508396359356
paul,0.2865979578351459,0.3512753060542845,0.0034510174445129024,0.0014813057820608757,0.40416444444347993,0.01417025985923946,0.5866781209629355,0.4970875859107003,0.0,0.03750989518733289
prince,0.22459503277062579,0.2877597120785441,0.00313252266966409,0.0025753859485111723,0.33610383077598943,0.014720044250834369,0.511818267200107,0.4069508396359356,0.03750989518733289,0.0
