,crawford,edmund,thomas,rushworth,norris,fanny,grant,william,julia,bertram
crawford,0.0,0.016470146140939144,0.021513834255549324,0.008300282516562093,0.019604726928245806,0.0022686387771194355,0.0057187043311082274,0.007083766988430453,0.0028457361972747527,0.004327919830952026
edmund,0.016470146140939144,0.0,0.032752460332854456,0.008770877802388055,0.01614092328634609,0.0026507239603927434,0.003923276949983159,0.01550864742114048,0.0032815996649584018,0.003065478936379501
thomas,0.021513834255549324,0.032752460332854456,0.0,0.06437874296993744,0.026678232935012192,0.014915066016754986,0.02564350501421157,0.012987647195343054,0.039869283366071824,0.028053067908211247
rushworth,0.008300282516562093,0.008770877802388055,0.06437874296993744,0.0,0.06662501123684332,0.07868658460291046,0.030190022111569757,0.13217486677477144,0.0072340944897312555,0.020331777016263562
norris,0.019604726928245806,0.01614092328634609,0.026678232935012192,0.06662501123684332,0.0,0.1004345876008022,0.029428418406005994,0.10137168596290559,0.044719482881399535,0.013645594862002761
fanny,0.0022686387771194355,0.0026507239603927434,0.014915066016754986,0.07868658460291046,0.1004345876008022,0.0,0.1501585259713685,0.059727242857157865,0.08759814098030277,0.11180970586243019
grant,0.0057187043311082274,0.003923276949983159,0.02564350501421157,0.030190022111569757,0.029428418406005994,0.1501585259713685,0.0,0.19523340119605306,0.0692434019543736,0.03160981843210976
william,0.007083766988430453,0.01550864742114048,0.012987647195343054,0.13217486677477144,0.10137168596290559,0.059727242857157865,0.19523340119605306,0.0,0.18621031735486218,0.2008056140654027
julia,0.0028457361972747527,0.0032815996649584018,0.039869283366071824,0.0072340944897312555,0.044719482881399535,0.08759814098030277,0.0692434019543736,0.18621031735486218,0.0,0.05750549462405743
bertram,0.004327919830952026,0.003065478936379501,0.028053067908211247,0.020331777016263562,0.013645594862002761,0.11180970586243019,0.03160981843210976,0.2008056140654027,0.05750549462405743,0.0
