,crawford,edmund,thomas,rushworth,norris,fanny,grant,william,julia,bertram
crawford,0.0,0.01625432361142063,0.02075461642898194,0.008194137705490557,0.017558588569693487,0.002225370707028453,0.005506021730202175,0.007067995362011024,0.0027443060054378665,0.003940454906552062
edmund,0.01625432361142063,0.0,0.03265285123194794,0.00854975627093595,0.014579757982667392,0.0027176040561947483,0.0037500004908602672,0.01619857905201385,0.003199885891855602,0.002867092490624511
thomas,0.02075461642898194,0.03265285123194794,0.0,0.061787531372324664,0.02530099851610404,0.015133524690587728,0.02446239240704579,0.01356098914530731,0.038818847403626476,0.026685612632088657
rushworth,0.008194137705490557,0.00854975627093595,0.061787531372324664,0.0,0.06356058546427155,0.08027699993785886,0.029949804214949454,0.13527634073794703,0.00708517643321829,0.019848929044782814
norris,0.017558588569693487,0.014579757982667392,0.02530099851610404,0.06356058546427155,0.0,0.10244320321242902,0.029441772720077284,0.10382493550442302,0.04472178450155251,0.013223966874707421
fanny,0.002225370707028453,0.0027176040561947483,0.015133524690587728,0.08027699993785886,0.10244320321242902,0.0,0.150802482059506,0.06180202382695733,0.08772644805972205,0.11026262320570077
grant,0.005506021730202175,0.0037500004908602672,0.02446239240704579,0.029949804214949454,0.029441772720077284,0.150802482059506,0.0,0.1974305258690504,0.06936918042130896,0.03096296676142489
william,0.007067995362011024,0.01619857905201385,0.01356098914530731,0.13527634073794703,0.10382493550442302,0.06180202382695733,0.1974305258690504,0.0,0.18786957449979527,0.20086244068916737
julia,0.0027443060054378665,0.003199885891855602,0.038818847403626476,0.00708517643321829,0.04472178450155251,0.08772644805972205,0.06936918042130896,0.18786957449979527,0.0,0.056055644140562
bertram,0.003940454906552062,0.002867092490624511,0.026685612632088657,0.019848929044782814,0.013223966874707421,0.11026262320570077,0.03096296676142489,0.20086244068916737,0.056055644140562,0.0
