,catherine,tilney,isabella,allen,thorpe,morland,henry,eleanor,james,john
catherine,0.0,0.001623601025314797,0.0015337544914363261,0.002481435064724812,0.0017467289503306507,0.001673112060139585,0.0015648091362103784,0.001640967838754618,0.0004961598194710679,0.001238695446549847
tilney,0.001623601025314797,0.0,0.03201709584162027,0.04796639633223644,0.01969542499194778,0.039858533741698066,0.09698270004161183,0.07514665267504314,0.005294657045923028,0.006107848238390699
isabella,0.0015337544914363261,0.03201709584162027,0.0,0.10776965194690777,0.061543655509611675,0.054982246950820324,0.17673931168352272,0.15747044598328608,0.0012284768140988047,0.0015480766274360567
allen,0.002481435064724812,0.04796639633223644,0.10776965194690777,0.0,0.024713612137308355,0.12228271804543393,0.31035173020423545,0.2590919365309943,0.023644126768435015,0.01447543426380508
thorpe,0.0017467289503306507,0.01969542499194778,0.061543655509611675,0.024713612137308355,0.0,0.13117224833149824,0.3231940456148389,0.2766392370294651,0.006043632288458533,0.009383085027742129
morland,0.001673112060139585,0.039858533741698066,0.054982246950820324,0.12228271804543393,0.13117224833149824,0.0,0.13735674381518104,0.09698015799699267,0.011782167016552074,0.009773582797324288
henry,0.0015648091362103784,0.09698270004161183,0.17673931168352272,0.31035173020423545,0.3231940456148389,0.13735674381518104,0.0,0.014279002993212197,0.13400882912301876,0.0869556119408253
eleanor,0.001640967838754618,0.07514665267504314,0.15747044598328608,0.2590919365309943,0.2766392370294651,0.09698015799699267,0.014279002993212197,0.0,0.2598630783291916,0.2806956498789524
james,0.0004961598194710679,0.005294657045923028,0.0012284768140988047,0.023644126768435015,0.006043632288458533,0.011782167016552074,0.13400882912301876,0.2598630783291916,0.0,0.009305722115437818
john,0.001238695446549847,0.006107848238390699,0.0015480766274360567,0.01447543426380508,0.009383085027742129,0.009773582797324288,0.0869556119408253,0.2806956498789524,0.009305722115437818,0.0
