,catherine,tilney,isabella,allen,thorpe,morland,henry,eleanor,james,john
catherine,0.0,0.0016068469845148695,0.0014937556715643645,0.002679482166208542,0.0018209435119579448,0.0016538762675091614,0.0014510289156128915,0.0015087167129441204,0.00048494928959360933,0.001238322660507093
tilney,0.0016068469845148695,0.0,0.03116436362342537,0.05028842046210048,0.0203983191852022,0.039043562164508404,0.09040028562290575,0.0695967507208792,0.005268424133079551,0.006134191667968424
isabella,0.0014937556715643645,0.03116436362342537,0.0,0.10988263976260115,0.06210771384209537,0.05345325048946044,0.16606730339045797,0.14697431419433807,0.001208002274738302,0.001550239603967502
allen,0.002679482166208542,0.05028842046210048,0.10988263976260115,0.0,0.024921776070996722,0.11967468215169463,0.29874400208609486,0.24552391454984113,0.02275616193404052,0.014144527822485785
thorpe,0.0018209435119579448,0.0203983191852022,0.06210771384209537,0.024921776070996722,0.0,0.12881741466098034,0.3113969100899138,0.26266781781979087,0.005830552464194772,0.009207275423775403
morland,0.0016538762675091614,0.039043562164508404,0.05345325048946044,0.11967468215169463,0.12881741466098034,0.0,0.13158497852295678,0.09021746267789137,0.01159555345846451,0.00977940013483975
henry,0.0014510289156128915,0.09040028562290575,0.16606730339045797,0.29874400208609486,0.3113969100899138,0.13158497852295678,0.0,0.01306014745516551,0.13131327465098602,0.0868191155960133
eleanor,0.0015087167129441204,0.0695967507208792,0.14697431419433807,0.24552391454984113,0.26266781781979087,0.09021746267789137,0.01306014745516551,0.0,0.2497466228256784,0.2723708878545451
james,0.00048494928959360933,0.005268424133079551,0.001208002274738302,0.02275616193404052,0.005830552464194772,0.01159555345846451,0.13131327465098602,0.2497466228256784,0.0,0.009309291778459043
john,0.001238322660507093,0.006134191667968424,0.001550239603967502,0.014144527822485785,0.009207275423775403,0.00977940013483975,0.0868191155960133,0.2723708878545451,0.009309291778459043,0.0
