,anne,elliot,wentworth,mary,lady russell,walter,charles,louisa,elizabeth,henrietta
anne,0.0,0.011715584770223128,0.011350205390034215,0.0012083699825767619,0.0017194303932190312,0.016357744155375598,0.002149538282249248,0.002320915559354294,0.003237857535495709,0.00435558205776928
elliot,0.011715584770223128,0.0,0.1626632685430287,0.1350856192586057,0.07723088010253995,0.1497884354386334,0.09196651192690118,0.07458471313388636,0.04107355866714962,0.08038360716971475
wentworth,0.011350205390034215,0.1626632685430287,0.0,0.02784025322222024,0.05369189836048748,0.0915106900718805,0.011658322740217626,0.01258924689594145,0.06198530413722278,0.004526013363437272
mary,0.0012083699825767619,0.1350856192586057,0.02784025322222024,0.0,0.07245810015324437,0.09138386164825478,0.01292557792406721,0.03346194049593515,0.047499604510209785,0.020013661113972268
lady russell,0.0017194303932190312,0.07723088010253995,0.05369189836048748,0.07245810015324437,0.0,0.07642099443335475,0.09439818821105242,0.10209621268398014,0.019004367388567808,0.08639027394513371
walter,0.016357744155375598,0.1497884354386334,0.0915106900718805,0.09138386164825478,0.07642099443335475,0.0,0.10454594631608793,0.14392152830138247,0.009225153699138877,0.11800956206621238
charles,0.002149538282249248,0.09196651192690118,0.011658322740217626,0.01292557792406721,0.09439818821105242,0.10454594631608793,0.0,0.050410097000820664,0.08472724035566312,0.02009681685823701
louisa,0.002320915559354294,0.07458471313388636,0.01258924689594145,0.03346194049593515,0.10209621268398014,0.14392152830138247,0.050410097000820664,0.0,0.13713026600873723,0.015802691255354207
elizabeth,0.003237857535495709,0.04107355866714962,0.06198530413722278,0.047499604510209785,0.019004367388567808,0.009225153699138877,0.08472724035566312,0.13713026600873723,0.0,0.14259171359782388
henrietta,0.00435558205776928,0.08038360716971475,0.004526013363437272,0.020013661113972268,0.08639027394513371,0.11800956206621238,0.02009681685823701,0.015802691255354207,0.14259171359782388,0.0
